market,model,sequence_window,outer_folds,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,direction_coverage_mean,direction_coverage_std,mape_mean,mape_std,nrmse_percent_mean,nrmse_percent_std,nmae_percent_mean,nmae_percent_std
SET50,lstm,5,4,0.5312207745517072,0.025862480136230336,0.5232456471744847,0.027315388465186653,0.06452381800592964,0.051034623778903714,0.547450535497009,0.03316982466186079,1.0,0.0,1.0904466886595132,0.262560544782447,1.3690047299328199,0.3136327098008828,1.07895426137823,0.24803374021085586
SET100,lstm,5,4,0.5162530569920276,0.032366724501389596,0.5015497774257571,0.044180577564274,0.03346099750852926,0.06712200379461533,0.5449235173546771,0.017268077783810013,1.0,0.0,1.5876135214863059,0.4421649231523622,1.8951867283606596,0.4727732638551444,1.5694949758934076,0.4315162342913738
SET50,cnn,20,4,0.5307947964279232,0.02343269202409945,0.5283081951580462,0.021233466153758686,0.07427175728288012,0.052620497458233315,0.5413761970277589,0.03933451375700076,1.0,0.0,1.9296466526562814,0.4924640273922664,2.3643946436239665,0.5910250559319702,1.8974474755669593,0.45318964002978734
SET100,cnn,20,4,0.5188541002403885,0.02383357804308992,0.517920917297566,0.020305041411118583,0.04206821286523542,0.05218877228029769,0.5405008327725337,0.026006143414778908,1.0,0.0,1.9740107725115645,0.332245439834884,2.4303408461140035,0.4011496413621741,1.9402750366688009,0.3070276386935093
SET50,lstm_cnn,20,4,0.5267632971920999,0.030179244887179223,0.5188711675392003,0.0328840628240869,0.06736453477262536,0.06762903847644514,0.5384048660690745,0.04267100992753813,1.0,0.0,2.820858536427878,1.6162849399956498,3.526317183962837,2.0431547325549246,2.7387675661063886,1.48918784880739
SET100,lstm_cnn,20,4,0.5051038226978166,0.014730789318224071,0.4939652957026114,0.02285764416814363,0.01695428867186713,0.04037406038113454,0.5365859169714097,0.0237251637651812,1.0,0.0,3.2886211071544356,1.9702674609125819,4.018634435578068,2.288555714960985,3.197957847198089,1.829427948769233
SET50,lstm_attention,10,4,0.5237397235070507,0.024367885052536446,0.5052098169879466,0.026914867263029517,0.10124915601944343,0.06469757144633866,0.5522496010546016,0.03946990130267278,1.0,0.0,3.6606582207668397,2.0635485739611608,4.216427637635249,2.21952042819293,3.559293833362912,1.9543250698979548
SET100,lstm_attention,10,4,0.5141911079586841,0.014079113748867935,0.49702901165339475,0.020341616222989498,0.07583306555978975,0.06017441546078281,0.5564464010848891,0.020027212513943855,1.0,0.0,4.986331207109741,2.1013224277155307,5.483737460656565,2.2856427132810073,4.8773264329701425,1.9751814258437486
SET50,lstm_cnn_attention,20,4,0.5110056106576095,0.037720680783751286,0.499147629568643,0.03791846562467017,0.04304421370197145,0.09905005642808472,0.5396735709944791,0.04654396669097381,1.0,0.0,4.362338722005888,3.188550625533444,5.404371158354868,3.8917268653604595,4.22503471925852,2.978823169709757
SET100,lstm_cnn_attention,20,4,0.500301578858093,0.024131255360716846,0.48681586835737345,0.02957413812381714,0.014349219574660208,0.06602574432615248,0.5331010149289181,0.027562225006099932,1.0,0.0,5.15689235857841,3.1940396550669026,6.168788175191578,3.703491006532654,5.01957706072407,2.9797373010321344
