model,sequence_window,balanced_accuracy_set50_mean,balanced_accuracy_set50_std,balanced_accuracy_set100_mean,balanced_accuracy_set100_std,balanced_accuracy_delta_pp,balanced_accuracy_delta_ci95_lower,balanced_accuracy_delta_ci95_upper,balanced_accuracy_sign_flip_pvalue,balanced_accuracy_holm_pvalue,direction_accuracy_set50_mean,direction_accuracy_set100_mean,mcc_set50_mean,mcc_set100_mean,roc_auc_set50_mean,roc_auc_set100_mean,nrmse_percent_set50_mean,nrmse_percent_set100_mean
lstm,5,0.5312207745517072,0.025862480136230336,0.5162530569920276,0.032366724501389596,-1.4967717559679656,-6.139003654199954,3.1454601422640236,0.375,1.0,0.5232456471744847,0.5015497774257571,0.06452381800592964,0.03346099750852926,0.547450535497009,0.5449235173546771,1.3690047299328199,1.8951867283606596
cnn,20,0.5307947964279232,0.02343269202409945,0.5188541002403885,0.02383357804308992,-1.1940696187534627,-2.080359853327236,-0.3077793841796893,0.125,0.625,0.5283081951580462,0.517920917297566,0.07427175728288012,0.04206821286523542,0.5413761970277589,0.5405008327725337,2.3643946436239665,2.4303408461140035
lstm_cnn,20,0.5267632971920999,0.030179244887179223,0.5051038226978166,0.014730789318224071,-2.1659474494283275,-6.560452458270526,2.228557559413871,0.25,1.0,0.5188711675392003,0.4939652957026114,0.06736453477262536,0.01695428867186713,0.5384048660690745,0.5365859169714097,3.526317183962837,4.018634435578068
lstm_attention,10,0.5237397235070507,0.024367885052536446,0.5141911079586841,0.014079113748867935,-0.9548615548366585,-2.987008437889701,1.0772853282163837,0.25,1.0,0.5052098169879466,0.49702901165339475,0.10124915601944343,0.07583306555978975,0.5522496010546016,0.5564464010848891,4.216427637635249,5.483737460656565
lstm_cnn_attention,20,0.5110056106576095,0.037720680783751286,0.500301578858093,0.024131255360716846,-1.0704031799516471,-6.852370751701811,4.711564391798516,0.625,1.0,0.499147629568643,0.48681586835737345,0.04304421370197145,0.014349219574660208,0.5396735709944791,0.5331010149289181,5.404371158354868,6.168788175191578
