protocol_id,market,model,fold,test_year,sequence_window,seeds_averaged,n_test,first_date,last_date,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,roc_auc,nrmse_percent,nmae_percent
set100-same-exchange-robustness-v1,SET50,lstm,fold_1,2022,5,5,241,2022-01-04,2022-12-30,11.194413476202588,8.529193671084041,0.8698822317995223,0.7470167799377845,0.5416666666666666,0.5554072096128171,0.11352725932757449,1.0,240,1,0,73,34,76,57,0.37916666666666665,0.5625043918206732,1.1376940674911942,0.8668263916375768
set100-same-exchange-robustness-v1,SET100,lstm,fold_1,2022,5,5,241,2022-01-04,2022-12-30,49.60525729602271,44.917542621424666,2.023181472868897,0.14551282596744386,0.46473029045643155,0.5,0.0,1.0,241,0,0,112,0,129,0,0.0,0.5600083056478405,2.2263174560913304,2.015929654916275
set100-same-exchange-robustness-v1,SET50,lstm,fold_2,2023,5,5,243,2023-01-03,2023-12-28,11.676269723237398,9.38779422579871,1.0097458328891504,0.9311350876630139,0.5041322314049587,0.508703399122807,0.01759592906029163,1.0,242,1,0,55,73,47,67,0.5785123966942148,0.5452302631578947,1.2521731908739386,1.0067551135438348
set100-same-exchange-robustness-v1,SET100,lstm,fold_2,2023,5,5,243,2023-01-03,2023-12-28,33.86139204206757,27.15807158173693,1.3108696967437026,0.9036134382294768,0.4773662551440329,0.49375,-0.015801086602516754,1.0,243,0,0,24,104,23,92,0.8065843621399177,0.5236413043478261,1.6293911519249704,1.3068311392411724
set100-same-exchange-robustness-v1,SET50,lstm,fold_3,2024,5,5,244,2024-01-02,2024-12-30,10.852245171323467,8.693474360413255,1.0105664201958153,0.9392691128579089,0.4959016393442623,0.5090181035062925,0.02343681903101102,1.0,244,0,0,24,103,20,97,0.819672131147541,0.5023891244363685,1.2538175527891866,1.0044032894328345
set100-same-exchange-robustness-v1,SET100,lstm,fold_3,2024,5,5,244,2024-01-02,2024-12-30,25.966012958181107,21.020554906802758,1.1160214475890684,0.9074895809160393,0.5,0.5071596638655462,0.01760302775302092,1.0,244,0,0,27,98,24,95,0.7909836065573771,0.5381512605042017,1.368497650776692,1.1078551048369
set100-same-exchange-robustness-v1,SET50,lstm,fold_4,2025,5,5,234,2025-01-02,2025-12-18,14.647007791173174,11.49350442298356,1.4715922697535644,0.9171835646781371,0.5512820512820513,0.5517543859649123,0.10353526460484141,1.0,234,0,0,64,56,49,65,0.5170940170940171,0.5796783625730995,1.83233410857696,1.4378322508986734
set100-same-exchange-robustness-v1,SET100,lstm,fold_4,2025,5,5,234,2025-01-02,2025-12-18,40.441755324602745,31.703523943566815,1.9003814687435554,0.8652687229587395,0.5641025641025641,0.5641025641025641,0.13204204888361287,1.0,234,0,0,52,65,37,80,0.6196581196581197,0.55789319891884,2.356540654649646,1.8473640045792832
set100-same-exchange-robustness-v1,SET50,cnn,fold_1,2022,20,5,241,2022-01-04,2022-12-30,18.820910067412697,14.873038869909227,1.513309432391075,0.2848942547237415,0.5083333333333333,0.499754058042302,-0.0004952360416314818,1.0,240,1,0,45,62,56,77,0.5791666666666667,0.4901271871266953,1.9127788851108547,1.5115546807193383
set100-same-exchange-robustness-v1,SET100,cnn,fold_1,2022,20,5,241,2022-01-04,2022-12-30,48.79190520431456,40.154804467506864,1.8021753163836935,0.1733042818130447,0.5062240663900415,0.4887527685492802,-0.025803482564845902,1.0,241,0,0,27,85,34,95,0.7468879668049793,0.5120431893687707,2.1898136647913016,1.8021747493105427
