symbol,mean_attention_when_active,active_test_days
SAWAD,0.021506608,119
GLOBAL,0.021229908,119
MINT,0.021142676,234
TLI,0.02104887,234
OR,0.021027239,234
AOT,0.021009978,234
TTB,0.020937115,234
PTT,0.020929445,234
BGRIM,0.020896822,119
BJC,0.020893797,234
MTC,0.02087258,234
TCAP,0.020869639,115
COM7,0.020859206,234
TU,0.02080423,234
KTC,0.020793205,234
CBG,0.02078971,234
HMPRO,0.020748507,234
DELTA,0.020746838,234
IVL,0.020735877,234
BBL,0.02072674,234
TISCO,0.020712392,234
BCP,0.020710299,115
LH,0.02070038,234
CRC,0.020695563,234
AWC,0.020675242,234
BH,0.02067298,234
GPSC,0.020670699,234
OSP,0.020667545,234
PTTEP,0.020653535,234
TRUE,0.020636626,234
KTB,0.020614453,234
BDMS,0.020589067,234
CPF,0.020573936,234
PTTGC,0.020554772,234
KBANK,0.020552242,234
CPN,0.02055083,234
EGCO,0.020515224,234
WHA,0.020513043,234
TOP,0.020511635,234
ITC,0.020511368,119
SCC,0.020487344,234
SCB,0.020432133,234
RATCH,0.020421118,234
BTS,0.020413028,234
BEM,0.020407993,234
ADVANC,0.020397965,234
SCGP,0.020384083,234
KKP,0.020383507,115
TIDLOR,0.020366676,115
VGI,0.020347929,171
CPALL,0.020316258,234
GULF,0.02010508,156
CCET,0.020087983,234
BANPU,,0
CENTEL,,0
EA,,0
GULFI,,0
INTUCH,,0
KCE,,0
