symbol,mean_attention_when_active,active_test_days
AOT,0.021667553,243
ITC,0.021658527,124
BBL,0.02160508,243
KTC,0.021584613,243
PTTEP,0.021570671,243
PTT,0.02144216,243
TTB,0.021439858,243
SCC,0.021429472,243
CPF,0.021429205,243
BH,0.021404132,243
BJC,0.021391423,124
BDMS,0.021387754,243
LH,0.021386342,243
KBANK,0.021378888,243
TISCO,0.021366792,243
COM7,0.021361738,119
EGCO,0.02136037,243
MTC,0.021342466,243
CENTEL,0.021342153,243
RATCH,0.02132719,243
ADVANC,0.02132425,243
MINT,0.02132246,243
SCB,0.021317568,243
TU,0.021311846,243
OR,0.02129647,243
CBG,0.021263735,243
BEM,0.021258526,243
HMPRO,0.021250261,243
TOP,0.021248734,243
DELTA,0.021243704,243
BGRIM,0.021240167,243
GPSC,0.02123637,243
OSP,0.02123108,243
GLOBAL,0.021205498,243
PTTGC,0.021201,243
CPALL,0.021188108,243
IVL,0.021184482,243
CPN,0.021163426,243
KCE,0.021149306,119
AWC,0.021144167,243
WHA,0.021128964,243
SAWAD,0.021095593,119
BTS,0.021094235,243
TRUE,0.021089291,243
TLI,0.02108083,243
KTB,0.021014877,243
CRC,0.021010926,243
BCP,0.021008644,124
SCGP,0.020871738,243
EA,0.020775264,243
BANPU,,0
CCET,,0
GULF,,0
GULFI,,0
INTUCH,,0
KKP,,0
TCAP,,0
TIDLOR,,0
VGI,,0
