model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_4,2025,789,Global-Numeric,20,1,9.52228639999521,0.5267138000053819,10737,234,70.84433958600296,53.48092257471929,7.03207921417376,-0.9374433835766098,0.5170940170940171,0.5267543859649123,0.08116935648838607,1.0,234,0,0,18,102,11,103,0.8760683760683761
lstm_cnn,fold_4,2025,789,Global-Numeric-News,20,1,9.575058900009026,0.5198709000105737,11249,234,60.93001582492733,47.95583452048973,6.305071694044498,-0.43311581906187113,0.5128205128205128,0.5225877192982457,0.06957172963143703,1.0,234,0,0,17,103,11,103,0.8803418803418803
lstm_cnn,fold_4,2025,789,Regime-SHAP-Numeric,20,3,18.185509500006447,1.6346310999942943,23635,234,29.949827010711015,23.40093611316038,3.0246539324684334,0.6537359976772741,0.5299145299145299,0.537061403508772,0.08911638077990079,1.0,234,0,0,31,89,21,93,0.7777777777777778
lstm_cnn,fold_4,2025,789,Regime-SHAP-Numeric-News,20,3,18.162521299993386,1.5408594000036828,25171,234,37.846028816831584,29.520429749369907,3.790411144526757,0.4470837683571296,0.5726495726495726,0.5782894736842106,0.17392011310261615,1.0,234,0,0,43,77,23,91,0.717948717948718
