stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,lstm_cnn,full_ta,10,42,fold_1,2012,2017,2018,1385,245,38.18449925152557,33.42840727746718,2.909786977322671,0.2120523054256649,0.5265306122448979,0.5247567639610823,0.10020251225584192,1.0,245,0,0,118,5,111,11,0.0653061224489796,7.205805900004634
window_selection,lstm_cnn,full_ta,10,42,fold_2,2012,2018,2019,1630,244,34.35952566339765,30.939565158178432,2.840898031879563,-0.931226094378236,0.47540983606557374,0.49538999932700717,-0.04179810832411497,1.0,244,0,0,1,126,2,115,0.9877049180327869,8.488885899998422
window_selection,lstm_cnn,full_ta,10,42,fold_3,2012,2019,2020,1874,243,64.91341152906726,49.01391998990552,5.819727958154037,0.47367905312745884,0.4793388429752066,0.4872197922361946,-0.033125376459434364,1.0,242,1,0,21,103,23,95,0.8181818181818182,9.213652400001592
window_selection,lstm_cnn,full_ta,10,42,fold_4,2012,2020,2021,2117,240,29.079209276206473,22.181875549515084,2.3133511841942154,-0.8437481321080096,0.48333333333333334,0.48742247926973725,-0.02536805810457316,1.0,240,0,0,63,50,74,53,0.42916666666666664,10.220373399999517
