model,paired_runs,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,runtime_seconds_delta_mean
cnn,20,4,5,-0.5550880502226748,1.410040125674783,-2.798776544350419,1.6886004439050692,0.5,0.24796977135820347,1.2535218901233498,-1.7466632825494488,2.242602825265856,0.625,0.0592049500001849
lstm,20,4,5,-0.3053325021194111,4.4221689677835165,-7.341990148550871,6.731325144312049,1.0,2.098031696887406,1.3875347711945116,-0.10984575613291803,4.30590914990773,0.125,-0.04275143499999104
lstm_attention,20,4,5,-6.913563500886352,7.181034593586284,-18.340192006122933,4.513065004350229,0.125,-0.7376724840294965,1.0655112681835464,-2.433138683363939,0.957793715304946,0.375,-0.24738362000025518
lstm_cnn,20,4,5,2.65110013925141,2.702561520258175,-1.6492783232223642,6.951478601725184,0.125,-1.295057909526691,0.7060298966880618,-2.4185090275940713,-0.1716067914593109,0.125,0.33027362999982873
lstm_cnn_attention,20,4,5,-1.4495449555547697,4.578080809496277,-8.734293134290606,5.835203223181066,0.875,-0.6600960813070337,0.49743255441361145,-1.451622278767751,0.1314301161536836,0.125,0.009767950000150447
