model,feature_set,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
cnn,technical_vmd,5,19.246583081208705,2.79290370955901,15.732060351176596,2.8518582432895125,1.7922601335017392,0.3656366224540047,0.6407649965354645,0.3653913720974309,0.5126792502201583,0.027302788335891334,4.138051500000029,0.4127253947306298,82.76103000000057
cnn,technical_vmd_news,5,18.691495030986033,2.137297776152291,15.092573656915938,2.0764802306415135,1.707525661215128,0.2317900695591914,0.6565983590643102,0.37455781375832026,0.5151589479337403,0.03774516212948716,4.197256450000213,0.3471032157948088,83.94512900000427
lstm,technical_vmd,5,17.55598233485905,3.900992851903769,14.282286578820498,3.6584684936547673,1.6026339260241511,0.30128423701355156,0.6027672511021585,0.5603334888117293,0.502602030160813,0.020047069117285064,5.534487125000078,0.7557444616163038,110.68974250000156
lstm,technical_vmd_news,5,17.25064983273964,0.9978981806338242,13.97082788642364,0.712850334858902,1.5872587008490926,0.21885772495232828,0.7463182845877688,0.2058984196986098,0.5235823471296871,0.02286966333569773,5.491735690000087,0.5073268045704943,109.83471380000174
lstm_attention,technical_vmd,20,45.318415033219225,11.736778273580745,39.116393443745054,11.054816895766248,4.467485610682446,1.418333946602307,-2.19547139437518,4.20815952496308,0.5080005286984782,0.0322866689305396,10.955139475000033,1.651996104515862,219.10278950000065
lstm_attention,technical_vmd_news,20,38.40485153233287,11.171588277765748,31.718541995259383,10.46264856603132,3.698448804289212,1.599717907301634,-0.37852826303837206,1.0811451039092295,0.5006238038581832,0.024026663722227618,10.707755854999778,1.7160061415618109,214.15511709999555
lstm_cnn,technical_vmd,20,30.38436646233152,9.177105256416082,23.991083755795923,6.364098625580309,2.8111212487788104,1.0629541647670238,0.23845995356469302,0.5713332775156014,0.5277827201277231,0.021482694415186826,8.584725724999952,0.9692450411428108,171.69451449999906
lstm_cnn,technical_vmd_news,20,33.035466601582925,8.378419008315149,26.06996764731931,6.306095737029549,3.032175887769388,1.0273579392593999,0.0014847933119426782,0.9452600274606011,0.5148321410324562,0.025409939058960322,8.914999354999782,0.8556111143002942,178.29998709999563
lstm_cnn_attention,technical_vmd,20,43.017479294798,17.022330694593435,34.26022024264946,11.969231271926215,4.041721040017187,1.8895850150037248,-0.47564571844991727,1.0827451288901988,0.5212492772196761,0.03505979157709164,13.492823644999863,3.263127008996394,269.85647289999724
lstm_cnn_attention,technical_vmd_news,20,41.56793433924324,12.742193454114158,32.86686469754183,8.83513930896548,3.850152342906359,1.4740588911823758,-0.4330083691081974,1.1888688705002122,0.5146483164066057,0.036565292729195474,13.502591595000013,3.1059021072851185,270.05183190000025
