model,seed,vmd_window,selected_sequence_window,direction_accuracy_mean,direction_accuracy_std,direction_accuracy_delta_vs_window_20_pp,rmse_mean,rmse_std,rmse_delta_vs_window_20,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total,window_20_runtime_seconds_mean,runtime_reduction_vs_window_20_percent
lstm,42,60,10,0.5323306397553047,0.048937620618704526,0.21847544616214742,15.030728574179157,3.0236906322368107,-0.48173814040441343,10.739179200012586,0.9479791369890496,42.956716800050344,13.337006150002708,19.478336597974753
cnn,42,60,10,0.5261572942248482,0.022963769307496856,0.5617454976058811,15.644439169415632,1.932458146075738,-10.761738690677737,7.2568295750097604,0.48679990292685366,29.027318300039042,7.6984532000205945,5.736524124218256
lstm_cnn,42,60,1,0.5210035216813856,0.026075827451358603,0.41768038403754426,17.679729672787495,8.479234524883601,-12.370650680861125,9.176742124996963,0.5505030857251006,36.70696849998785,16.8838797500066,45.64790640022548
lstm_attention,42,60,3,0.5333905829828254,0.04406959612376105,2.003893980677496,17.110097992321354,4.2624799850150525,-12.145718158021687,14.562456575018587,0.6695159569658563,58.249826300074346,22.26350134999666,34.59044762956491
lstm_cnn_attention,42,60,1,0.5284256140211706,0.028693302207886233,1.9998864298477304,13.93145066397906,5.365840292915208,-26.995703947532935,14.805058374986402,0.8311635020636617,59.22023349994561,26.05263087498315,43.17250167159566
