model,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total,window_20_rmse,window_20_direction_accuracy,rmse_delta_vs_window_20,direction_accuracy_delta_vs_window_20_pp,direction_accuracy_rank,rmse_rank
lstm,1,12.897219395676778,1.7197442324178331,10.408516356442323,1.407126001050763,1.18523847934323,0.25129181449395316,0.8796504723047905,0.06492291258992952,0.49719863206993714,0.029101926977816942,7.662580549993436,0.4814024182384745,30.650322199973743,15.51246671458357,0.5301458852936832,-2.6152473189067926,-3.2947253223746085,4,3
lstm,3,12.815724658335371,1.0231635228520402,10.344480763088011,1.0115992032860326,1.167903207758323,0.17942808228765894,0.8648226468417712,0.1106488472499489,0.523466254392533,0.04654143327350839,8.201106624983368,0.5611603639774374,32.80442649993347,15.51246671458357,0.5301458852936832,-2.6967420562481994,-0.6679630901150202,3,2
lstm,5,12.510313379005023,1.4102618411714807,9.995200257003614,1.2614402005046563,1.1334509518415652,0.21396895405784708,0.8681026322737138,0.11756817868341428,0.49202668706396724,0.028201142163011898,8.985020100008114,0.4652064947294413,35.94008040003246,15.51246671458357,0.5301458852936832,-3.002153335578548,-3.811919822971599,5,1
lstm,10,15.030728574179157,3.0236906322368107,12.347633727141154,2.6887300707983397,1.4109713376814543,0.4003880406945357,0.8463924676574166,0.058006805071305415,0.5323306397553047,0.048937620618704526,10.739179200012586,0.9479791369890496,42.956716800050344,15.51246671458357,0.5301458852936832,-0.48173814040441343,0.21847544616214742,1,4
lstm,20,15.51246671458357,3.960525078760612,12.743856016714345,3.505166386983284,1.467982502859543,0.5361319337151118,0.8379917110911892,0.06271250601968276,0.5301458852936832,0.045923643115801,13.337006150002708,0.8967193036670379,53.34802460001083,15.51246671458357,0.5301458852936832,0.0,0.0,2,5
cnn,1,11.125027639501827,1.0818541832088469,9.002979233157706,0.9096380975882559,1.0212812606665986,0.15146895241400216,0.8921208717009682,0.10314145439789406,0.4999571723117551,0.04434952157055252,7.28228895002394,0.4624807085618229,29.12915580009576,26.40617786009337,0.5205398392487894,-15.281150220591542,-2.0582666937034313,4,1
cnn,3,14.431971380224194,4.320212055522823,11.732822087804596,3.767030387400607,1.364712691281924,0.5444904328501173,0.8620619723947953,0.0492765253451925,0.5176374158468158,0.01958823198255983,7.404336000006879,0.33340539861526025,29.617344000027515,26.40617786009337,0.5205398392487894,-11.974206479869174,-0.2902423401973664,3,3
cnn,5,13.420776260275327,1.9102137773185273,10.734986882483241,1.7062873025459426,1.210322910458371,0.1744895488641066,0.827520329339513,0.19138906008748452,0.4937430366482812,0.03371273469701791,7.298671650001779,0.501161191431026,29.194686600007117,26.40617786009337,0.5205398392487894,-12.985401599818042,-2.6796802600508265,5,2
cnn,10,15.644439169415632,1.932458146075738,12.583384056874207,1.728221149494314,1.4119712302545409,0.15470200236383708,0.7910884268264013,0.18597605102151377,0.5261572942248482,0.022963769307496856,7.2568295750097604,0.48679990292685366,29.027318300039042,26.40617786009337,0.5205398392487894,-10.761738690677737,0.5617454976058811,1,4
cnn,20,26.40617786009337,7.146737430920988,21.96463319175794,6.786155508846153,2.5080314250422657,0.8632774691003173,0.3990657528203679,0.5107954591702225,0.5205398392487894,0.025233709327042473,7.6984532000205945,0.3802255623602761,30.793812800082378,26.40617786009337,0.5205398392487894,0.0,0.0,2,5
