model,sequence_window,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
lstm,1,7.662580549993436,0.4814024182384745,30.650322199973743
lstm,3,8.201106624983368,0.5611603639774374,32.80442649993347
lstm,5,8.985020100008114,0.4652064947294413,35.94008040003246
lstm,10,10.739179200012586,0.9479791369890496,42.956716800050344
lstm,20,13.337006150002708,0.8967193036670379,53.34802460001083
cnn,1,7.28228895002394,0.4624807085618229,29.12915580009576
cnn,3,7.404336000006879,0.33340539861526025,29.617344000027515
cnn,5,7.298671650001779,0.501161191431026,29.194686600007117
cnn,10,7.2568295750097604,0.48679990292685366,29.027318300039042
cnn,20,7.6984532000205945,0.3802255623602761,30.793812800082378
lstm_cnn,1,9.176742124996963,0.5505030857251006,36.70696849998785
lstm_cnn,3,10.248910725000314,0.6149613941616263,40.99564290000126
lstm_cnn,5,10.891717274993425,0.8039605959742635,43.5668690999737
lstm_cnn,10,12.822664675011765,0.7104571174540456,51.29065870004706
lstm_cnn,20,16.8838797500066,2.3912605657585124,67.5355190000264
lstm_attention,1,11.287816775016836,2.3543399585844793,45.151267100067344
lstm_attention,3,14.562456575018587,0.6695159569658563,58.249826300074346
lstm_attention,5,15.520380700021633,1.584558886562966,62.08152280008653
lstm_attention,10,17.38587832498888,1.2989240517620937,69.54351329995552
lstm_attention,20,22.26350134999666,1.936555537243489,89.05400539998664
lstm_cnn_attention,1,14.805058374986402,0.8311635020636617,59.22023349994561
lstm_cnn_attention,3,16.27588819999073,1.3050815318926923,65.10355279996293
lstm_cnn_attention,5,17.1575203500106,0.3615670344449952,68.6300814000424
lstm_cnn_attention,10,20.560302774989395,1.8510512097017002,82.24121109995758
lstm_cnn_attention,20,26.05263087498315,4.379553894108161,104.2105234999326
