model,best_direction_window,best_direction_accuracy,best_direction_window_rmse,best_rmse_window,best_rmse,best_rmse_window_direction_accuracy
lstm,10,0.5323306397553047,15.030728574179157,5,12.510313379005023,0.49202668706396724
cnn,10,0.5261572942248482,15.644439169415632,1,11.125027639501827,0.4999571723117551
lstm_cnn,1,0.5210035216813856,17.679729672787495,1,17.679729672787495,0.5210035216813856
lstm_attention,3,0.5333905829828254,17.110097992321354,1,14.52839866258244,0.5209072021122788
lstm_cnn_attention,1,0.5284256140211706,13.93145066397906,1,13.93145066397906,0.5284256140211706
