worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
lstm_price,3.6181800000049407,0.0451818000001367,9050,171,1,122,0.6506215333938599,shap_mask_fit,crossfit_3,,0.7999383999995189
cnn_trend,2.759405999997398,0.2571604999975534,2633,171,34,30,0.6378400325775146,worker_fit,crossfit_3,shap,
lstm_price,3.758340599990333,0.05523670000548,3162,171,34,30,0.7271312475204468,worker_fit,crossfit_3,shap,
cnn_trend,2.8913645000138786,0.2588358999928459,9993,171,34,122,0.6172958016395569,worker_fit,crossfit_3,all_features,
lstm_price,3.8843880999920657,0.058555299998261,9050,171,34,122,0.6378377079963684,worker_fit,crossfit_3,all_features,
cnn_trend,3.178010500007076,0.1755788000009488,9993,225,1,122,0.6450672149658203,shap_mask_fit,final_train,,1.0160802000027616
lstm_price,4.062272399998619,0.0537007000093581,9050,225,1,122,0.6550382971763611,shap_mask_fit,final_train,,0.8148628000053577
cnn_trend,3.021086299995659,0.2880310000036843,2633,225,243,30,0.6588049530982971,worker_fit,final_train,shap,
lstm_price,4.032485599993379,0.0490551999973831,3162,225,243,30,0.7378979325294495,worker_fit,final_train,shap,
cnn_trend,3.3940015000116546,0.3793249000009382,9993,225,243,122,0.6498566269874573,worker_fit,final_train,all_features,
lstm_price,4.140788400007295,0.0520305999962147,9050,225,243,122,0.6290981769561768,worker_fit,final_train,all_features,
debate_leader,3.1209158999990905,0.0184203000098932,50,102,243,9,0.677407443523407,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,2.909300900006201,0.0153133000130765,50,102,243,9,0.7333518862724304,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.0207296000007773,0.0166279999975813,50,102,243,9,0.6762901544570923,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,3.0522391999984397,0.2991865000076359,2633,103,34,30,0.6420608758926392,worker_fit,crossfit_1,shap,
lstm_price,3.834703200001968,0.0538149000058183,3162,103,34,30,0.7611380815505981,worker_fit,crossfit_1,shap,
cnn_trend,3.2044602999958443,0.2886685999983456,9993,103,34,122,0.6118214130401611,worker_fit,crossfit_1,all_features,
