model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn_attention,fold_4,2025,456,Global-All,20,1,1,0,21.66949429998931,0.5974774000060279,12865,234,109.42287653123195,81.32909332367093,10.745770514887658,-3.62205344417196,0.5170940170940171,0.5269736842105263,0.08440074076159035,1.0,234,0,0,17,103,10,104,0.8846153846153846
lstm_cnn_attention,fold_4,2025,456,Global3-All,20,3,3,0,63.93200859997887,1.9930896000005305,38595,234,63.99738205845497,49.54506231185721,6.535975761412932,-0.5810409745984608,0.5555555555555556,0.5644736842105262,0.1786371110310879,1.0,234,0,0,26,94,10,104,0.8461538461538461
lstm_cnn_attention,fold_4,2025,456,Global-SHAP,20,1,0,1,21.66949429998931,0.5974774000060279,12865,234,109.42287653123195,81.32909332367093,10.745770514887658,-3.62205344417196,0.5170940170940171,0.5269736842105263,0.08440074076159035,1.0,234,0,0,17,103,10,104,0.8846153846153846
lstm_cnn_attention,fold_4,2025,456,Global-Spearman,20,1,0,1,21.66949429998931,0.5974774000060279,12865,234,109.42287653123195,81.32909332367093,10.745770514887658,-3.62205344417196,0.5170940170940171,0.5269736842105263,0.08440074076159035,1.0,234,0,0,17,103,10,104,0.8846153846153846
lstm_cnn_attention,fold_4,2025,456,Regime-All,20,3,3,0,31.31806309998501,2.0196314999921015,38595,234,25.454487514329234,20.730950785737786,2.6412133960226036,0.7498805740297794,0.5427350427350427,0.5471491228070176,0.10031167280890599,1.0,234,0,0,45,75,32,82,0.6709401709401709
lstm_cnn_attention,fold_4,2025,456,Regime-SHAP,20,3,2,1,30.267731399988406,1.9287280999997165,30019,234,26.199800658671442,21.147208609260062,2.7255778001226494,0.7350190321511338,0.5,0.5059210526315789,0.013344540864134473,1.0,234,0,0,33,87,30,84,0.7307692307692307
lstm_cnn_attention,fold_4,2025,456,Regime-Spearman,20,3,2,1,31.226172800001223,2.045857300006901,30019,234,26.60776918772394,20.89448474785712,2.654169460564365,0.7267025137496087,0.5598290598290598,0.5642543859649123,0.13670381457213698,1.0,234,0,0,47,73,30,84,0.6709401709401709
