model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,ablation
pit_dern,fold_1,2022,Global-Numeric,2025,241,26.42978142493365,21.37141839385867,2.173752494649836,-0.4101852612795638,0.4625,0.47575714988405593,-0.04978110095058224,1.0,240,1,0,64,43,86,47,0.375,encoder_only
pit_dern,fold_1,2022,Global-Numeric,2025,241,8.389403576200952,6.791494291072779,0.6900457072570843,0.8579140282214465,0.475,0.47881385707258795,-0.04224188192399765,1.0,240,1,0,55,52,74,59,0.4625,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric,2025,241,6.919591100479567,5.426194428565274,0.5519251342084672,0.903339309963475,0.49166666666666664,0.49202445365750824,-0.015857765159306505,1.0,240,1,0,53,54,68,65,0.49583333333333335,dual_evidence
pit_dern,fold_1,2022,Global-Numeric,2025,241,25.401845343799693,20.599573653609085,2.0952199734032773,-0.30262546320987416,0.4625,0.47575714988405593,-0.04978110095058224,1.0,240,1,0,64,43,86,47,0.375,pit_dern
pit_dern,fold_1,2022,Global-Numeric,2025,241,26.21283670861704,21.210618637872937,2.15735437526619,-0.3871297060217629,0.4625,0.47575714988405593,-0.04978110095058224,1.0,240,1,0,64,43,86,47,0.375,shuffled_retrieval_control
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,31.972071479554437,25.178079317805985,2.55927240879779,-1.0636240411090006,0.4666666666666667,0.47768955098025434,-0.04535343779459061,1.0,240,1,0,62,45,83,50,0.3958333333333333,encoder_only
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,9.286888774008403,7.527897806732338,0.7658251141141567,0.8258876743114794,0.4791666666666667,0.47983275946876536,-0.04010266774315525,1.0,240,1,0,52,55,70,63,0.49166666666666664,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,7.110670826593859,5.539865055498662,0.5635181685681244,0.8979271650424472,0.48333333333333334,0.483592157965006,-0.032623684270467565,1.0,240,1,0,52,55,69,64,0.49583333333333335,dual_evidence
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,30.07362706448685,23.671601778945607,2.4060080631135667,-0.8258313003257693,0.4666666666666667,0.47768955098025434,-0.04535343779459061,1.0,240,1,0,62,45,83,50,0.3958333333333333,pit_dern
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,31.641100962233338,24.905405396656683,2.5316644440985088,-1.0211204728205896,0.4666666666666667,0.47768955098025434,-0.04535343779459061,1.0,240,1,0,62,45,83,50,0.3958333333333333,shuffled_retrieval_control
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,21.546219987735498,16.51307565323204,1.6798385613182445,0.06280231397302938,0.4791666666666667,0.4971892347691659,-0.005927441723494731,1.0,240,1,0,71,36,89,44,0.3333333333333333,encoder_only
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,8.315827730532183,6.650047684150845,0.6773482104854412,0.8603953139872708,0.4708333333333333,0.4714004637762631,-0.05687033369848148,1.0,240,1,0,51,56,71,62,0.49166666666666664,standard_retrieval
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,7.256866853217553,5.656218254320314,0.5759028628192436,0.8936867639046749,0.49166666666666664,0.49111095495748713,-0.01767407306301562,1.0,240,1,0,52,55,67,66,0.5041666666666667,dual_evidence
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,21.19652935361653,16.254653914121025,1.6535818684759007,0.0929764943875111,0.4791666666666667,0.4971892347691659,-0.005927441723494731,1.0,240,1,0,71,36,89,44,0.3333333333333333,pit_dern
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,21.41825527987437,16.424916050926043,1.6708586499159888,0.07390143916005876,0.4791666666666667,0.4971892347691659,-0.005927441723494731,1.0,240,1,0,71,36,89,44,0.3333333333333333,shuffled_retrieval_control
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,22.220931473587434,17.14667626863059,1.7462501116953677,0.003187332468645776,0.5208333333333334,0.5274752301314032,0.055002662390128396,1.0,240,1,0,63,44,71,62,0.44166666666666665,encoder_only
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,8.985758743002881,6.81851987004012,0.6945937195910782,0.8369958969038384,0.5291666666666667,0.5313400323238001,0.062345815192144126,1.0,240,1,0,59,48,65,68,0.48333333333333334,standard_retrieval
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,7.285908946657497,5.504640303065711,0.560307297703171,0.8928341267463861,0.5166666666666667,0.516407842034994,0.032623684270467565,1.0,240,1,0,55,52,64,69,0.5041666666666667,dual_evidence
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,21.605556357064337,16.717473806455928,1.7025890885405257,0.05763328846146398,0.5208333333333334,0.5274752301314032,0.055002662390128396,1.0,240,1,0,63,44,71,62,0.44166666666666665,pit_dern
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,22.048005706103503,17.019047927596908,1.7332481249377025,0.018641578984734064,0.5208333333333334,0.5274752301314032,0.055002662390128396,1.0,240,1,0,63,44,71,62,0.44166666666666665,shuffled_retrieval_control
