symbol,mean_attention_when_active,active_test_days
SCGP,0.02148107,243
EA,0.021424852,243
CRC,0.021401528,243
SAWAD,0.02138013,119
KTB,0.021374488,243
TLI,0.021361362,243
OR,0.021350501,243
AWC,0.021349784,243
KCE,0.021341538,119
CPN,0.021332946,243
BCP,0.021331016,124
BGRIM,0.021320416,243
PTTGC,0.021312341,243
IVL,0.021307033,243
BTS,0.021306746,243
BEM,0.021302419,243
OSP,0.021301698,243
CBG,0.021299804,243
GPSC,0.021296961,243
CPALL,0.021291757,243
LH,0.021283172,243
GLOBAL,0.021280086,243
TRUE,0.02127909,243
SCB,0.021277012,243
WHA,0.021276329,243
SCC,0.021271765,243
EGCO,0.021269793,243
HMPRO,0.021269765,243
TOP,0.021266473,243
MINT,0.021259904,243
RATCH,0.02125978,243
ADVANC,0.02125591,243
COM7,0.021255597,119
TISCO,0.02124542,243
PTT,0.021241492,243
TU,0.021239184,243
BJC,0.021238841,124
BDMS,0.021236662,243
MTC,0.021224584,243
CENTEL,0.021224482,243
KBANK,0.02121916,243
TTB,0.021216145,243
BH,0.021215076,243
DELTA,0.021213245,243
CPF,0.021198537,243
PTTEP,0.021190984,243
BBL,0.021168243,243
KTC,0.021140039,243
AOT,0.021134377,243
ITC,0.02111416,124
BANPU,,0
CCET,,0
GULF,,0
GULFI,,0
INTUCH,,0
KKP,,0
TCAP,,0
TIDLOR,,0
VGI,,0
