model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,balanced_accuracy_technical,mcc_technical,direction_coverage_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,balanced_accuracy_news,mcc_news,direction_coverage_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,mcc_delta_news_minus_technical,direction_coverage_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp,balanced_accuracy_delta_pp
cnn,42,fold_1,2022,20,31.74401535893194,27.083238314226918,2.7527512414211115,-1.0342894623508436,0.5083333333333333,0.47326259574169066,-0.06931059172669272,1.0,3.580611299999873,22.297839849561147,17.606126443751126,1.7920459981455619,-0.0037247011004102326,0.4625,0.46936265898390833,-0.06146284396800829,1.0,3.2960088000036194,-9.446175509370793,-9.477111870475792,-0.9607052432755496,1.0305647612504334,0.007847747758684437,0.0,-0.28460249999625375,-4.583333333333329,-0.38999367577823296
cnn,42,fold_2,2023,20,22.004607359356378,17.26094491468536,1.8492969299250146,0.7554222142719659,0.5537190082644629,0.5488623903508771,0.09906447512118223,1.0,3.4737120999998297,23.947664424111515,19.284281667250163,2.073030719146327,0.7103216159074304,0.5661157024793388,0.5687362938596492,0.13771345716359631,1.0,3.559317600003851,1.9430570647551377,2.023336752564802,0.22373378922131248,-0.045100598364535505,0.038648982042414085,0.0,0.08560550000402145,1.2396694214875992,1.987390350877205
cnn,42,fold_3,2024,20,21.71033190177805,16.64889824363051,1.9631480224877202,0.7569456726652909,0.5040983606557377,0.5142001480584157,0.03259013210316665,1.0,3.7623060000041733,45.5624864479101,39.89245435331686,4.697940318737289,-0.07049653241856646,0.4959016393442623,0.5150750386970859,0.08458283308600123,1.0,3.8620640999943134,23.852154546132052,23.24355610968635,2.7347922962495685,-0.8274422050838574,0.05199270098283458,0.0,0.09975809999014018,-0.8196721311475363,0.08748906386701893
cnn,42,fold_4,2025,20,27.3002319045639,21.77217366498759,2.8264730077335125,0.7122923693797463,0.5213675213675214,0.5230263157894737,0.04642056790565327,1.0,4.344445300004736,50.04950546064483,40.09908538975522,5.243016553695531,0.033018224348245195,0.5427350427350427,0.5484649122807017,0.10816840970588222,1.0,4.171923100002459,22.74927355608093,18.326911724767626,2.4165435459620186,-0.6792741450315011,0.06174784180022895,0.0,-0.1725222000022768,2.136752136752129,2.543859649122804
cnn,123,fold_1,2022,20,24.499389191243097,19.73449320984083,2.00664729980343,-0.21171237125400566,0.5,0.49314875974984185,-0.013729520448667598,1.0,3.2788870000003953,28.16932575352532,23.732832993541,2.420925339006743,-0.6019240897925693,0.5083333333333333,0.4878785749420279,-0.025997332093113952,1.0,3.7486063000033027,3.669936562282224,3.9983397837001675,0.41427803920331296,-0.3902117185385636,-0.012267811644446354,0.0,0.4697193000029074,0.8333333333333304,-0.5270184807813938
cnn,123,fold_2,2023,20,19.810350648998128,16.12462982222377,1.738210641165135,0.8017678519169547,0.5330578512396694,0.5298108552631579,0.05992431372503764,1.0,3.464102300000377,22.42124336803109,17.352392445998927,1.859274516702996,0.7460728449296969,0.5413223140495868,0.5285087719298246,0.06360767040899656,1.0,3.5168802000043797,2.610892719032961,1.2277626237751562,0.12106387553786102,-0.05569500698725771,0.003683356683958923,0.0,0.05277790000400273,0.8264462809917328,-0.13020833333332593
cnn,123,fold_3,2024,20,24.611749217874223,19.924756197816997,2.3569916754533815,0.6876400143193127,0.5204918032786885,0.5353321219462952,0.1019401813439615,1.0,3.835708500002511,24.994685667506225,21.072050990095875,2.476502023014518,0.6778443215704928,0.5122950819672131,0.5207281782084932,0.0454104127271385,1.0,3.8842440000007628,0.3829364496320018,1.1472947922788777,0.11951034756113632,-0.009795692748819862,-0.056529768616823,0.0,0.04853549999825191,-0.8196721311475419,-1.460394373780205
cnn,123,fold_4,2025,20,31.28261479643911,24.394842193195455,3.1802822456110142,0.6222323174580859,0.5555555555555556,0.5625,0.1482927535004349,1.0,4.201917699996557,25.52075905979481,20.570788085874593,2.6142332543838753,0.7485764913052053,0.49572649572649574,0.49473684210526314,-0.010554126447688392,1.0,4.192845800003852,-5.7618557366443,-3.824054107320862,-0.5660489912271389,0.12634417384711938,-0.15884687994812327,0.0,-0.009071899992704857,-5.982905982905984,-6.776315789473686
cnn,456,fold_1,2022,20,25.304862169955054,21.496707819062145,2.192556898494084,-0.2926977131989448,0.48333333333333334,0.4735436722647741,-0.05342568672822084,1.0,3.1276193000012427,24.72594894637662,20.229395558784603,2.057831233362007,-0.234226777747776,0.44166666666666665,0.44143067950249454,-0.11645327982627288,1.0,3.352039400000649,-0.5789132235784358,-1.2673122602775422,-0.1347256651320774,0.05847093545116877,-0.06302759309805203,0.0,0.22442009999940637,-4.166666666666669,-3.211299276227958
cnn,456,fold_2,2023,20,21.812929041483013,18.25639316032451,1.9680432204448004,0.7596646054125995,0.5289256198347108,0.5378974780701755,0.07947481579109976,1.0,3.4505271000016364,18.64420829870913,14.757505264463743,1.5833049000730108,0.8244189449557346,0.5785123966942148,0.5761376096491229,0.1526522942939816,1.0,3.4845045000038226,-3.168720742773882,-3.4988878958607668,-0.38473832037178957,0.06475433954313514,0.07317747850288185,0.0,0.03397740000218619,4.958677685950407,3.8240131578947345
