model,selected_sequence_window,technical_rmse_mean,news_rmse_mean,rmse_delta_news_minus_technical,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,technical_direction_accuracy_mean,news_direction_accuracy_mean,direction_accuracy_delta_pp,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,technical_balanced_accuracy_mean,news_balanced_accuracy_mean,balanced_accuracy_delta_pp,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,technical_mcc_mean,news_mcc_mean,mcc_delta_news_minus_technical,technical_direction_coverage_mean,news_direction_coverage_mean,technical_runtime_seconds_mean,news_runtime_seconds_mean,paired_outer_folds,seeds_per_fold
cnn,20,27.629240713120332,28.200468011701822,0.5712272985814904,-3.9933997356010744,5.135854332764056,0.625,0.5178007150780995,0.5162091683775737,-0.15915467005258427,-3.0246475638139048,2.7063382237087366,1.0,0.518188080309762,0.5174854574927246,-0.07026228170375293,-2.0747482565126463,1.9342236931051406,1.0,0.04194651053365413,0.04298122745063046,0.0010347169169763332,1.0,1.0,3.726288450001084,3.747434210000938,4,5
lstm,5,17.530886529554973,16.930790973967248,-0.6000955555877222,-7.731760700882173,6.531569589706729,1.0,0.5036069293763035,0.5240721831984871,2.0465253822183764,-0.1592156145887973,4.25226637902555,0.125,0.5095527019729919,0.5213404017263424,1.178769975335052,-1.0262094674918882,3.383749418161992,0.25,0.02254934199741912,0.04743867533464904,0.02488933333722992,1.0,1.0,4.797271250000631,4.768633394999052,4,5
lstm_attention,10,38.99778790887538,25.491160235686237,-13.506627673189147,-26.23774841985901,-0.7755069265192862,0.125,0.5152630649901514,0.5192356117346804,0.39725467445288587,-0.7600332636183055,1.5545426125240773,0.5,0.5241269551758888,0.5277039780570402,0.35770228811513155,-1.0740185242518776,1.7894231004821406,0.625,0.0551691749364283,0.06649716380606584,0.011327988869637543,1.0,1.0,7.895963219999612,7.834029625000039,4,5
lstm_cnn,20,30.867534035496888,33.43634091288601,2.5688068773891155,-2.517019996791147,7.654633751569378,0.375,0.5229464656886416,0.5144601074947572,-0.8486358193884274,-2.279581282042316,0.5823096432654615,0.25,0.5278616895605046,0.5188892345589295,-0.8972455001575017,-2.25707790193892,0.4625869016239168,0.25,0.06806965970466232,0.04650009506875917,-0.021569564635903163,1.0,1.0,7.47523075500103,7.473151234999023,4,5
lstm_cnn_attention,20,40.56236576963677,40.44073948605801,-0.12162628357876148,-3.4194930182586445,3.1762404511011217,1.0,0.5231091031836188,0.5131900463131834,-0.991905687043543,-2.481984286761756,0.4981729126746699,0.125,0.5280076055786035,0.5191327936576071,-0.8874811920996423,-2.3908749238583047,0.6159125396590203,0.125,0.06737739711891924,0.048322196834053095,-0.01905520028486614,1.0,1.0,10.397417230001519,10.385863255000732,4,5
