model,paired_runs,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,balanced_accuracy_delta_pp_mean,balanced_accuracy_delta_pp_std,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,mcc_delta_news_minus_technical_mean,direction_coverage_delta_mean,runtime_seconds_delta_mean
cnn,20,4,5,0.5712272985814904,2.868627839284559,-3.9933997356010744,5.135854332764056,0.625,-0.15915467005258427,1.8008114631840544,-3.0246475638139048,2.7063382237087366,1.0,-0.07026228170375293,1.259713932317358,-2.0747482565126463,1.9342236931051406,1.0,0.0010347169169763332,0.0,0.02114575999985391
lstm,20,4,5,-0.6000955555877222,4.481876180254158,-7.731760700882173,6.531569589706729,1.0,2.0465253822183764,1.386192120913435,-0.1592156145887973,4.25226637902555,0.125,1.178769975335052,1.3857135243200098,-1.0262094674918882,3.383749418161992,0.25,0.02488933333722992,0.0,-0.028637855001579733
lstm_attention,20,4,5,-13.506627673189147,8.000839307505558,-26.23774841985901,-0.7755069265192862,0.125,0.39725467445288587,0.7272945571146231,-0.7600332636183055,1.5545426125240773,0.5,0.35770228811513155,0.8997611742827972,-1.0740185242518776,1.7894231004821406,0.625,0.011327988869637543,0.0,-0.06193359499957296
lstm_cnn,20,4,5,2.5688068773891155,3.196174506219594,-2.517019996791147,7.654633751569378,0.375,-0.8486358193884274,0.8992739077973687,-2.279581282042316,0.5823096432654615,0.25,-0.8972455001575017,0.854583091958997,-2.25707790193892,0.4625869016239168,0.25,-0.021569564635903163,0.0,-0.0020795200020074815
lstm_cnn_attention,20,4,5,-0.12162628357876148,2.072535664909442,-3.4194930182586445,3.1762404511011217,1.0,-0.991905687043543,0.9364359720660712,-2.481984286761756,0.4981729126746699,0.125,-0.8874811920996423,0.9448038317332355,-2.3908749238583047,0.6159125396590203,0.125,-0.01905520028486614,0.0,-0.011553975000788344
