model,mean_permuted_labels,mean_random_initialization,median_permuted_labels,median_random_initialization,std_permuted_labels,std_random_initialization,top_deletion_effect_mean,top_deletion_effect_median,random_deletion_effect_mean,faithfulness_percentile_mean,faithfulness_percentile_median,trained_abs_attribution_mean,trained_abs_attribution_max,seed42_probability_std,seed42_probability_min,seed42_probability_max,seed42_probability_unique
cnn,0.11758293927608018,0.15983226544093107,0.0,0.0,0.1885415245784841,0.21633921564798955,0.0,0.0,0.0,1.0,1.0,2.6913921466216525e-07,9.982944443542864e-06,0.0,0.5043238401412964,0.5043238401412964,1
lstm,0.4338641402942955,0.40984553836867454,0.4218907478330982,0.40616811126788954,0.08540071748728158,0.08770239301490616,0.006646566589673317,0.00520083308219905,0.0016383761167525733,0.8896666666666667,0.99,0.00033097740830669535,0.0050384219744046,0.012706746218946486,0.4720761775970459,0.5305067896842957,138
lstm_attention,0.0,0.0,0.0,0.0,0.0,0.0,3.9736429850260424e-09,0.0,4.490216573079427e-09,0.9906666666666666,0.99,0.0,0.0,7.14931988471724e-09,0.5088222026824951,0.5088222622871399,2
lstm_cnn,0.0,0.4545392862138891,0.0,0.48764626380852616,0.0,0.15641096432569102,0.0028168350458144696,0.000681072473526,0.0007477724254131023,0.8943333333333333,1.0,7.845616902666357e-05,0.0012695174709733,0.005620770605720737,0.4980644285678863,0.5169167518615723,138
lstm_cnn_attention,0.4081933066993588,0.23581641723475896,0.4428939168134399,0.24530353147997,0.1389492935335319,0.13281969163038226,0.0,0.0,3.111958503723144e-07,0.9993333333333333,1.0,5.621368249496482e-05,0.0006741139572739,4.539096906285146e-05,0.5023601055145264,0.502893328666687,2
