model,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,balanced_accuracy_delta_pp_mean,balanced_accuracy_delta_pp_std,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,mcc_delta_mean,mcc_delta_std,runtime_seconds_delta_mean
lstm,4,5,-0.49095816589960567,0.5922489648942717,-1.4333584309675433,0.45144209916833195,0.25,-0.30797890633955965,0.47762160787488167,-1.0679814669921002,0.4520236543129808,0.375,-0.33452807159823456,0.8814084805283149,-1.737045652749766,1.0679895095532967,0.5,-0.008600448113477262,0.01863058028409164,-0.12656513000074474
cnn,4,5,-4.485257130007376,3.9581487710274175,-10.783555096067102,1.81304083605235,0.125,-0.7972308780803569,0.6217634776837339,-1.7865953192378308,0.19213356307711704,0.25,-0.299084618058221,0.6817277717522378,-1.3838656322693228,0.7856963961528809,0.625,-0.013097354948612356,0.02251025541558256,0.02329824999869743
lstm_cnn,4,5,0.9939904059222257,1.4089476932627838,-1.2479597844588488,3.2359405963033003,0.375,0.2990952891288218,1.1897384057623446,-1.5940440077074292,2.192234585965073,0.625,0.35450151190310786,1.2357516389810412,-1.6118551069586426,2.3208581307648584,0.625,0.010134505791090152,0.030785553236067388,0.2851361749999338
lstm_attention,4,5,17.24593978145934,15.289870527955408,-7.083656203519631,41.575535766438314,0.125,-0.6241803712928907,1.841462943595065,-3.5543588418733782,2.305998099287597,0.625,-0.4954500621631337,1.8742499046347088,-3.477799904254669,2.4868997799284016,0.75,-0.011447714970275368,0.047262131482448025,1.3430743099994291
lstm_cnn_attention,4,5,1.5444451187133679,5.144315393607187,-6.6413086400862795,9.730198877513015,0.875,-0.4576221923464847,1.197701296102703,-2.3634322246542623,1.4481878399612929,0.625,-0.6000041190978916,0.8669594777508742,-1.9795301124973728,0.7795218743015896,0.375,-0.013159360640180758,0.020171721030048422,-0.7359814850005927
