model,seed,fold,test_year,sequence_window,rmse_full_ta,mae_full_ta,mape_full_ta,r2_full_ta,direction_accuracy_full_ta,balanced_accuracy_full_ta,mcc_full_ta,direction_coverage_full_ta,runtime_seconds_full_ta,rmse_full_ta_vmd,mae_full_ta_vmd,mape_full_ta_vmd,r2_full_ta_vmd,direction_accuracy_full_ta_vmd,balanced_accuracy_full_ta_vmd,mcc_full_ta_vmd,direction_coverage_full_ta_vmd,runtime_seconds_full_ta_vmd,rmse_delta_vmd_minus_full_ta,mae_delta_vmd_minus_full_ta,mape_delta_vmd_minus_full_ta,r2_delta_vmd_minus_full_ta,runtime_seconds_delta_vmd_minus_full_ta,direction_accuracy_delta_pp,balanced_accuracy_delta_pp,mcc_delta_vmd_minus_full_ta,direction_coverage_delta_pp
lstm,42,fold_1,2022,5,11.833712182830586,9.312549685165587,0.9485576982786074,0.7172965993019992,0.5625,0.5869931838943152,0.1919173557288294,1.0,7.322238699998707,12.266725033659252,9.371475356327544,0.9567249453116736,0.6962290152619686,0.5166666666666667,0.5346778160354156,0.0729051775136264,1.0,7.011045599996578,0.4330128508286659,0.05892567116195657,0.00816724703306626,-0.021067584040030618,-0.31119310000212863,-4.583333333333329,-5.231536785889956,-0.11901217821520299,0.0
lstm,42,fold_2,2023,5,16.76857352979018,14.0850649910405,1.5225422134468432,0.8579693741417604,0.5495867768595041,0.5627055921052632,0.1399062942890188,1.0,7.086574799999653,12.796230922706329,10.471743611170922,1.126217055640103,0.9172907849358394,0.4710743801652892,0.4736156798245614,-0.052899309903855,1.0,7.376271699999052,-3.972342607083853,-3.6133213798695785,-0.39632515780674016,0.05932141079407893,0.28969689999939874,-7.851239669421489,-8.908991228070178,-0.1928056041928738,0.0
lstm,42,fold_3,2024,5,13.908349351719655,11.251543277560703,1.2975441561259156,0.9002479996372929,0.4918032786885246,0.5050810956322768,0.013324468652776,1.0,7.609757199999876,10.65564488412106,8.527119648036408,0.9919728182752116,0.9414495942639076,0.4672131147540984,0.4703546672050609,-0.0599726098196015,1.0,7.604544000001624,-3.252704467598596,-2.7244236295242956,-0.305571337850704,0.04120159462661477,-0.005213199998252094,-2.45901639344262,-3.472642842721585,-0.0732970784723775,0.0
lstm,42,fold_4,2025,5,13.420928844368126,10.881016332043526,1.365524100169606,0.9304681386253978,0.5555555555555556,0.5517543859649122,0.1084404932905397,1.0,7.921120699997118,14.121273472594458,11.19876308227706,1.4218140434854143,0.9230220333164482,0.5213675213675214,0.519298245614035,0.0391028472837702,1.0,8.246237399995152,0.7003446282263326,0.3177467502335336,0.05628994331580839,-0.007446105308949624,0.32511669999803416,-3.4188034188034178,-3.2456140350877183,-0.0693376460067695,0.0
lstm,123,fold_1,2022,5,11.704030654477284,8.717291358832998,0.8907393547398166,0.7234587449932579,0.5583333333333333,0.5402993464970838,0.0852548755767118,1.0,7.1415330000018,10.252861830580317,7.987819438673147,0.8134882686004028,0.787783455926206,0.5833333333333334,0.6003091841753917,0.2085033760148754,1.0,7.475404199998593,-1.4511688238969676,-0.7294719201598516,-0.07725108613941378,0.06432471093294811,0.3338711999967927,2.500000000000002,6.0009837678307925,0.1232485004381636,0.0
lstm,123,fold_2,2023,5,13.015458178972814,10.288356812068947,1.1079714829292802,0.914432531491289,0.5330578512396694,0.5278919956140351,0.0566345401244038,1.0,7.41808139999921,14.004489507900736,11.659939022319325,1.260172029498153,0.900934068687162,0.5165289256198347,0.5338541666666667,0.0841051983889117,1.0,7.444693299999926,0.989031328927922,1.3715822102503772,0.15220054656887294,-0.013498462804127032,0.02661190000071656,-1.6528925619834767,0.5962171052631637,0.027470658264507904,0.0
lstm,123,fold_3,2024,5,15.310821705016584,12.60824895882218,1.4747122168793103,0.8791163874586281,0.4795081967213114,0.4962985396056262,-0.0129124920211792,1.0,7.739770100000896,17.643011155759595,14.63866302070074,1.7213100722448005,0.8394849163870809,0.4918032786885246,0.5111380308230702,0.0666668613840095,1.0,8.124869299994316,2.3321894507430105,2.0304140618785596,0.24659785536549017,-0.039631471071547186,0.38509919999342035,1.2295081967213184,1.483949121744399,0.0795793534051887,0.0
lstm,123,fold_4,2025,5,17.10211772839855,13.967959913522265,1.7709874921964734,0.8870936178710185,0.5470085470085471,0.5495614035087719,0.1010621879313291,1.0,8.379372700001113,15.371860916602005,12.28867045604775,1.553358285423477,0.9087838787974032,0.5598290598290598,0.5600877192982456,0.1201534827292035,1.0,8.209473299997626,-1.7302568117965453,-1.679289457474514,-0.21762920677299635,0.021690260926384708,-0.16989940000348724,1.2820512820512775,1.0526315789473717,0.0190912947978744,0.0
lstm,456,fold_1,2022,5,13.31933367047035,10.029568578890249,1.0248422880946648,0.641859013211288,0.5375,0.5498208137165344,0.1014654455656814,1.0,7.310512999996717,11.472764840774548,8.626180229285941,0.8813568297490245,0.7342794076052965,0.55,0.5373480430047081,0.0765247157040023,1.0,7.158069900004193,-1.8465688296958014,-1.4033883496043078,-0.1434854583456403,0.09242039439400851,-0.15244309999252348,1.2500000000000067,-1.2472770711826286,-0.024940729861679112,0.0
lstm,456,fold_2,2023,5,11.727712656056038,9.309678051736624,1.0050677852377776,0.930526945318192,0.5661157024793388,0.5668174342105263,0.1334292867367065,1.0,7.75705050000397,11.993627127219836,9.26088997795748,0.999724431206688,0.9273407606137928,0.5661157024793388,0.5629797149122807,0.1265987225593324,1.0,7.517084900006012,0.2659144711637982,-0.048788073779144625,-0.005343354031089653,-0.003186184704399242,-0.23996559999795863,0.0,-0.3837719298245612,-0.006830564177374099,0.0
lstm,456,fold_3,2024,5,12.45089541332614,9.968022186443475,1.161592460199737,0.9200586271775236,0.5081967213114754,0.5231846019247594,0.0677370428414339,1.0,9.585745399999723,10.27931074656424,8.305643861782363,0.9620912769123504,0.9455123067791362,0.4713114754098361,0.4759741570765193,-0.0493280405163894,1.0,7.752062300001853,-2.1715846667619,-1.6623783246611126,-0.19950118328738653,0.0254536796016126,-1.8336830999978702,-3.688524590163933,-4.721044484824005,-0.11706508335782331,0.0
lstm,456,fold_4,2025,5,22.02340330642848,16.728849133752355,2.1738508523275506,0.8127647685405898,0.5213675213675214,0.5208333333333333,0.0416910545333533,1.0,8.9284514999963,18.22315005028453,13.7483961252932,1.7920515664404673,0.871806616478403,0.5470085470085471,0.550219298245614,0.1036396457993991,1.0,8.179755099998147,-3.80025325614395,-2.980453008459156,-0.38179928588708334,0.0590418479378132,-0.7486963999981526,2.564102564102566,2.9385964912280738,0.06194859126604581,0.0
lstm,789,fold_1,2022,5,10.423097923991993,8.411073951839901,0.8545664625014718,0.7806777643831322,0.4958333333333333,0.5286698053545078,0.0712526820421104,1.0,7.639085399998294,15.236144700302876,11.290601180796797,1.1506238383713487,0.531360160712111,0.5083333333333333,0.5298995151429977,0.0646088759160199,1.0,7.13654530000349,4.813046776310884,2.8795272289568956,0.2960573758698769,-0.24931760367102118,-0.5025400999948033,1.250000000000001,0.12297097884899078,-0.006643806126090501,0.0
