model,sequence_window,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,rmse_mean,rmse_std,runtime_seconds_mean,selection_feature_sets,selection_years,selection_runs
lstm,1,0.49735312835894907,0.007364684677469095,0.487570448854247,0.01714932620640091,33.794348805222846,15.446513455013514,5.017527537501337,2,4,8
lstm,3,0.4889745292840112,0.021896642964711478,0.48035652506158943,0.020874318945750057,33.95729391736974,15.363398928448406,5.76701572499951,2,4,8
lstm,5,0.5085100905241715,0.012237944149740845,0.49846341141117056,0.015673744798945875,30.20223214931015,8.784426446669784,5.986606150002444,2,4,8
lstm,10,0.5002950655685902,0.021874729307161892,0.4885681944333078,0.022218498281811005,33.38293482599436,14.923163870878053,6.827052562500285,2,4,8
lstm,20,0.4979190582396839,0.027319663010765136,0.487549209071923,0.031038031908586616,34.460637070109115,14.571608526655238,8.821459350000623,2,4,8
cnn,1,0.49736104497823586,0.015430401662863762,0.4943589750457831,0.02103350122824502,20.33922216175893,6.844281299174357,4.9635808624989295,2,4,8
cnn,3,0.49825434254554096,0.017831156092078287,0.4974389623753579,0.023877849870430234,25.16286427482236,13.008378838060022,5.167342274998191,2,4,8
cnn,5,0.5060974267068837,0.02059606373778571,0.5072216887195198,0.0232545387104126,30.365765497252912,21.34492390550454,4.786890887499794,2,4,8
cnn,10,0.4997284721220936,0.01787939267962106,0.4911338662446417,0.022371187978789335,38.05300910084402,18.91803584971742,4.659456987500562,2,4,8
cnn,20,0.5114449127243714,0.030809445579900435,0.5029597260086801,0.03368209892345603,40.646303075548964,20.98682865845172,5.104634500000429,2,4,8
lstm_cnn,1,0.48889096890787004,0.031233951843228448,0.47663857093779116,0.034182443248178276,31.8289707355873,8.76147129987529,6.15135003749765,2,4,8
lstm_cnn,3,0.4841911139236719,0.03644645410377544,0.47356293985891335,0.03620821562015136,34.376514391011575,11.379054198390925,6.7868851999983235,2,4,8
lstm_cnn,5,0.4816219767161909,0.032882755418998676,0.4725103098413189,0.034617733316559575,35.12776147678401,11.019857368263251,7.2061449000011635,2,4,8
lstm_cnn,10,0.4891777631513146,0.02941066822867364,0.48132809137406485,0.03078862253693255,41.49185658074742,13.696962785746447,8.21598431250186,2,4,8
lstm_cnn,20,0.49205820470766015,0.02581502481688494,0.4823205820907146,0.030157724758614026,45.896154302518845,14.785661569170015,9.560289012499197,2,4,8
lstm_attention,1,0.4970972235376674,0.008114585480318971,0.48552155078262166,0.011006733922362233,34.4665295802683,10.117927982943767,7.820497149999028,2,4,8
lstm_attention,3,0.48770345972989876,0.033256179617686565,0.4776655674802098,0.03496878992639024,33.69139095431445,8.465150739554849,8.583253737500854,2,4,8
lstm_attention,5,0.49489652924241234,0.03177650590924404,0.4849124331686339,0.03401747948746448,36.6796300287742,8.302206659157177,10.179316100000506,2,4,8
lstm_attention,10,0.5019348635975981,0.03081331820545063,0.4921868822044466,0.0332465186707897,49.62398201201162,10.494671734391225,10.53087615000095,2,4,8
lstm_attention,20,0.5002577551398342,0.031243693320546998,0.491155863510558,0.0322334580951811,59.20644748006536,19.58782090556686,12.927945474998523,2,4,8
lstm_cnn_attention,1,0.49348175232367414,0.012127703598449514,0.48241376841347566,0.012631807600452263,39.94845983410282,15.56084395357268,9.213514900001428,2,4,8
lstm_cnn_attention,3,0.5053378025311873,0.013008337670869282,0.49580126700795474,0.025266973185442524,39.25308755799366,10.157811870533966,9.921817712501252,2,4,8
lstm_cnn_attention,5,0.4958139948476814,0.02528025081813745,0.48591711706698665,0.030484582257250318,41.246581754626455,13.302277126156861,11.030892550001226,2,4,8
lstm_cnn_attention,10,0.49740109412572026,0.025174432806776437,0.48798961377668526,0.027135431690354293,56.773751216518555,23.725943541926842,12.33025838750018,2,4,8
lstm_cnn_attention,20,0.5102235673090402,0.018242461492063176,0.49946087473398787,0.021972674216500752,67.30492772341496,22.458277286303126,14.116340862501602,2,4,8
