model,sequence_window,rmse_mean_full_ta,rmse_std_full_ta,mae_mean_full_ta,mae_std_full_ta,mape_mean_full_ta,mape_std_full_ta,r2_mean_full_ta,r2_std_full_ta,direction_accuracy_mean_full_ta,direction_accuracy_std_full_ta,balanced_accuracy_mean_full_ta,balanced_accuracy_std_full_ta,mcc_mean_full_ta,mcc_std_full_ta,direction_coverage_mean_full_ta,direction_coverage_std_full_ta,runtime_seconds_mean_full_ta,runtime_seconds_std_full_ta,runtime_seconds_total_full_ta,rmse_mean_full_ta_vmd,rmse_std_full_ta_vmd,mae_mean_full_ta_vmd,mae_std_full_ta_vmd,mape_mean_full_ta_vmd,mape_std_full_ta_vmd,r2_mean_full_ta_vmd,r2_std_full_ta_vmd,direction_accuracy_mean_full_ta_vmd,direction_accuracy_std_full_ta_vmd,balanced_accuracy_mean_full_ta_vmd,balanced_accuracy_std_full_ta_vmd,mcc_mean_full_ta_vmd,mcc_std_full_ta_vmd,direction_coverage_mean_full_ta_vmd,direction_coverage_std_full_ta_vmd,runtime_seconds_mean_full_ta_vmd,runtime_seconds_std_full_ta_vmd,runtime_seconds_total_full_ta_vmd,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,balanced_accuracy_delta_pp_mean,balanced_accuracy_delta_pp_std,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,mcc_delta_mean,mcc_delta_std,runtime_seconds_delta_mean
lstm,5,13.75125655397304,1.866038678451546,10.984447177239492,1.5197339434528665,1.2571923210092748,0.29001158482260003,0.8564352240241215,0.09133964159032465,0.5274854225506237,0.02186578842348888,0.5349005021580684,0.017098770495576933,0.07749493376110499,0.033069088004241375,1.0,0.0,7.835224170000219,0.6755920457956427,156.7044834000044,13.260298388073437,1.8012511426868363,10.481039826718023,1.4164626270714284,1.2015852273323544,0.2823398627243431,0.8596365013823797,0.10513953157264233,0.5244056334872281,0.02266708949568471,0.531555221442086,0.02247808434055404,0.06889448564762773,0.04211930279412101,1.0,0.0,7.708659039999475,0.4576373788893167,154.1731807999895,4,5,-0.49095816589960567,0.5922489648942717,-1.4333584309675433,0.45144209916833195,0.25,-0.30797890633955965,0.47762160787488167,-1.0679814669921002,0.4520236543129808,0.375,-0.33452807159823456,0.8814084805283149,-1.737045652749766,1.0679895095532967,0.5,-0.008600448113477262,0.01863058028409164,-0.12656513000074474
cnn,20,26.960597616674153,6.86234538746051,22.080199611568474,5.114532585375949,2.5630351366797313,0.8810978707180642,0.4169541816698853,0.42068916318253374,0.5245152835242254,0.019724148614663605,0.5214195310143117,0.03127779675060454,0.05792768657744235,0.08318366105303307,1.0,0.0,6.546934035000959,0.4675896824535943,130.93868070001918,22.47534048666678,3.0279541285991205,18.181335038200864,2.250831473234155,2.0919161319384614,0.4754826480372818,0.592438906560967,0.3187947187443181,0.5165429747434218,0.019724973254661684,0.5184286848337295,0.02564506261712732,0.04483033162883,0.061309812132882405,1.0,0.0,6.570232284999657,0.45081269519016826,131.40464569999313,4,5,-4.485257130007376,3.9581487710274175,-10.783555096067102,1.81304083605235,0.125,-0.7972308780803569,0.6217634776837339,-1.7865953192378308,0.19213356307711704,0.25,-0.299084618058221,0.6817277717522378,-1.3838656322693228,0.7856963961528809,0.625,-0.013097354948612356,0.02251025541558256,0.02329824999869743
lstm_cnn,20,30.8978426278185,14.826695360092826,24.093686182268804,10.922206814861156,2.84871751037641,1.640472396244815,0.2651705657329179,0.5264630223619603,0.5136803456727078,0.02566776233559238,0.5207540986833427,0.02419867732972136,0.048075471108475445,0.05346750717768119,1.0,0.0,14.26222891000034,1.0862608377116034,285.2445782000068,31.891833033740724,15.00076081831667,24.619579866628687,10.464823265084766,2.9222662550813348,1.6052019654255263,0.2141072730015316,0.5506759834497987,0.5166712985639961,0.02904045951475788,0.5242991138023738,0.026365676954527444,0.05820997689956559,0.056667162784769055,1.0,0.0,14.547365085000274,1.1441683021738502,290.9473017000055,4,5,0.9939904059222257,1.4089476932627838,-1.2479597844588488,3.2359405963033003,0.375,0.2990952891288218,1.1897384057623446,-1.5940440077074292,2.192234585965073,0.625,0.35450151190310786,1.2357516389810412,-1.6118551069586426,2.3208581307648584,0.625,0.010134505791090152,0.030785553236067388,0.2851361749999338
lstm_attention,10,24.581688313255505,3.137870441036065,19.417266729773967,2.6580560506609725,2.240265232183872,0.5063656090189129,0.5356169980366983,0.28806246759969223,0.512761891093672,0.03267909374611993,0.5250764094249141,0.02664644689194456,0.06221264298994926,0.061496640507927774,1.0,0.0,14.206420960000106,1.1551109067967926,284.1284192000021,41.827628094714846,18.086033992408552,35.45894030650182,16.52307859071126,4.204797145038232,2.368472587625973,-0.6684822735256004,1.0058278388602775,0.5065200873807431,0.01854764337991266,0.5201219088032827,0.015665750407991716,0.0507649280196739,0.036191800053848235,1.0,0.0,15.549495269999534,1.2828667419698545,310.9899053999907,4,5,17.24593978145934,15.289870527955408,-7.083656203519631,41.575535766438314,0.125,-0.6241803712928907,1.841462943595065,-3.5543588418733782,2.305998099287597,0.625,-0.4954500621631337,1.8742499046347088,-3.477799904254669,2.4868997799284016,0.75,-0.011447714970275368,0.047262131482448025,1.3430743099994291
lstm_cnn_attention,20,45.74380661250379,24.367016653630554,35.588752842658685,17.94695066770622,4.245356324927634,2.657961040905791,-0.5987580895797862,1.1852372726765223,0.5030642027288823,0.037153739488734135,0.5158316537587853,0.033031439426477974,0.05167049329172969,0.08720389584714962,1.0,0.0,20.379255225000087,1.6533760718871462,407.58510450000176,47.288251731217166,29.301105406388725,36.988082252707976,21.91856188895529,4.440232969534476,3.1763442608489045,-0.640512811261744,1.340227854852925,0.49848798080541745,0.029848190412030035,0.5098316125678064,0.029817768898750714,0.03851113265154893,0.08115208860784706,1.0,0.0,19.643273739999493,1.6986033580127338,392.8654747999899,4,5,1.5444451187133679,5.144315393607187,-6.6413086400862795,9.730198877513015,0.875,-0.4576221923464847,1.197701296102703,-2.3634322246542623,1.4481878399612929,0.625,-0.6000041190978916,0.8669594777508742,-1.9795301124973728,0.7795218743015896,0.375,-0.013159360640180758,0.020171721030048422,-0.7359814850005927
