model,selected_sequence_window,selection_balanced_accuracy_mean,selection_balanced_accuracy_std,selection_direction_accuracy_mean,selection_direction_accuracy_std,selection_rmse_mean,selection_rmse_std,selection_feature_sets,selection_years,selection_seed
lstm,5,0.5085100905241715,0.012237944149740845,0.49846341141117056,0.015673744798945875,30.20223214931015,8.784426446669784,2,4,42
cnn,20,0.5114449127243714,0.030809445579900435,0.5029597260086801,0.03368209892345603,40.646303075548964,20.98682865845172,2,4,42
lstm_cnn,20,0.49205820470766015,0.02581502481688494,0.4823205820907146,0.030157724758614026,45.896154302518845,14.785661569170015,2,4,42
lstm_attention,10,0.5019348635975981,0.03081331820545063,0.4921868822044466,0.0332465186707897,49.62398201201162,10.494671734391225,2,4,42
lstm_cnn_attention,20,0.5102235673090402,0.018242461492063176,0.49946087473398787,0.021972674216500752,67.30492772341496,22.458277286303126,2,4,42
