model,selected_sequence_window,full_ta_rmse_mean,full_ta_rmse_std,vmd_rmse_mean,vmd_rmse_std,rmse_delta_vmd_minus_full_ta,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,full_ta_direction_accuracy_mean,full_ta_direction_accuracy_std,vmd_direction_accuracy_mean,vmd_direction_accuracy_std,direction_accuracy_delta_pp,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,full_ta_balanced_accuracy_mean,full_ta_balanced_accuracy_std,vmd_balanced_accuracy_mean,vmd_balanced_accuracy_std,balanced_accuracy_delta_pp,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,full_ta_mcc_mean,full_ta_mcc_std,vmd_mcc_mean,vmd_mcc_std,mcc_delta_vmd_minus_full_ta,full_ta_direction_coverage_mean,vmd_direction_coverage_mean,full_ta_runtime_seconds_mean,vmd_runtime_seconds_mean,paired_outer_folds,seeds_per_fold
lstm,5,13.75125655397304,1.866038678451546,13.260298388073437,1.8012511426868363,-0.49095816589960567,-1.4333584309675433,0.45144209916833195,0.25,0.5274854225506237,0.02186578842348888,0.5244056334872281,0.02266708949568471,-0.30797890633955965,-1.0679814669921002,0.4520236543129808,0.375,0.5349005021580684,0.017098770495576933,0.531555221442086,0.02247808434055404,-0.33452807159823456,-1.737045652749766,1.0679895095532967,0.5,0.07749493376110499,0.033069088004241375,0.06889448564762773,0.04211930279412101,-0.008600448113477262,1.0,1.0,7.835224170000219,7.708659039999475,4,5
cnn,20,26.960597616674153,6.86234538746051,22.47534048666678,3.0279541285991205,-4.485257130007376,-10.783555096067102,1.81304083605235,0.125,0.5245152835242254,0.019724148614663605,0.5165429747434218,0.019724973254661684,-0.7972308780803569,-1.7865953192378308,0.19213356307711704,0.25,0.5214195310143117,0.03127779675060454,0.5184286848337295,0.02564506261712732,-0.299084618058221,-1.3838656322693228,0.7856963961528809,0.625,0.05792768657744235,0.08318366105303307,0.04483033162883,0.061309812132882405,-0.013097354948612356,1.0,1.0,6.546934035000959,6.570232284999657,4,5
lstm_cnn,20,30.8978426278185,14.826695360092826,31.891833033740724,15.00076081831667,0.9939904059222257,-1.2479597844588488,3.2359405963033003,0.375,0.5136803456727078,0.02566776233559238,0.5166712985639961,0.02904045951475788,0.2990952891288218,-1.5940440077074292,2.192234585965073,0.625,0.5207540986833427,0.02419867732972136,0.5242991138023738,0.026365676954527444,0.35450151190310786,-1.6118551069586426,2.3208581307648584,0.625,0.048075471108475445,0.05346750717768119,0.05820997689956559,0.056667162784769055,0.010134505791090152,1.0,1.0,14.26222891000034,14.547365085000274,4,5
lstm_attention,10,24.581688313255505,3.137870441036065,41.827628094714846,18.086033992408552,17.24593978145934,-7.083656203519631,41.575535766438314,0.125,0.512761891093672,0.03267909374611993,0.5065200873807431,0.01854764337991266,-0.6241803712928907,-3.5543588418733782,2.305998099287597,0.625,0.5250764094249141,0.02664644689194456,0.5201219088032827,0.015665750407991716,-0.4954500621631337,-3.477799904254669,2.4868997799284016,0.75,0.06221264298994926,0.061496640507927774,0.0507649280196739,0.036191800053848235,-0.011447714970275368,1.0,1.0,14.206420960000106,15.549495269999534,4,5
lstm_cnn_attention,20,45.74380661250379,24.367016653630554,47.288251731217166,29.301105406388725,1.5444451187133679,-6.6413086400862795,9.730198877513015,0.875,0.5030642027288823,0.037153739488734135,0.49848798080541745,0.029848190412030035,-0.4576221923464847,-2.3634322246542623,1.4481878399612929,0.625,0.5158316537587853,0.033031439426477974,0.5098316125678064,0.029817768898750714,-0.6000041190978916,-1.9795301124973728,0.7795218743015896,0.375,0.05167049329172969,0.08720389584714962,0.03851113265154893,0.08115208860784706,-0.013159360640180758,1.0,1.0,20.379255225000087,19.643273739999493,4,5
