regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
global,WMA_20,0.07713498622589532,0.06680085759218811,3,1
global,VMD_Denoised_Close,0.10743801652892564,0.09313576586433592,3,2
global,SMA_20,0.11845730027548208,0.13763080988205836,3,3
global,WMA_10,0.11845730027548211,0.1078610024818286,3,4
global,Close_D,0.1322314049586777,0.054193706812413235,3,5
global,SMA_10,0.14049586776859505,0.10838741362482646,3,6
global,Open_W,0.14325068870523416,0.13360171518437622,3,7
global,Low_W,0.14600550964187328,0.04699372481882089,3,8
global,WMA_5,0.1487603305785124,0.12988622847522077,3,9
global,Low_M,0.15151515151515152,0.15731450727569404,3,10
global,Low_D,0.162534435261708,0.1078610024818286,3,11
global,SMA_5,0.17079889807162532,0.09928827157542754,3,12
global,Close_D_lag1,0.1763085399449036,0.16244102465901453,3,13
global,Close_D_lag5,0.1790633608815427,0.1297108249806452,3,14
global,WMA_60,0.18732782369146006,0.0921527751166817,3,15
global,Open_D,0.20661157024793386,0.12174313936079534,3,16
global,Close_D_lag2,0.2066115702479339,0.12174313936079535,3,17
global,Close_W_lag2,0.21763085399449036,0.1632797962836082,3,18
global,High_D,0.21763085399449036,0.07811265497938194,3,19
global,Close_W_lag1,0.22038567493112948,0.11726609726607583,3,20
global,Spread_D,0.2231404958677686,0.3444407600690034,3,21
global,High_W,0.23415977961432508,0.1338570866474528,3,22
global,Close_M,0.2396694214876033,0.07204791642215988,3,23
global,Close_W,0.24242424242424243,0.19805993904152824,3,24
global,SMA_60,0.24242424242424243,0.09928827157542755,3,25
global,Volatility_10,0.25068870523415976,0.3913494395141351,3,26
global,Close_W_lag4,0.25895316804407714,0.09507126130433828,3,27
global,Ratio_Volume_D_to_W,0.25895316804407714,0.2074912403046892,3,28
global,Close_D_lag20,0.2644628099173554,0.0813955190231083,3,29
global,Volume_D_lag2,0.27548209366391185,0.11251007083560406,3,30
global,Volume_D,0.27823691460055094,0.05863304863303792,3,31
global,Close_D_lag10,0.2865013774104683,0.16700214398047025,3,32
global,Close_D_lag3,0.2865013774104683,0.1075439189859126,3,33
global,Volume_MA_5,0.29476584022038566,0.29686950476138996,3,34
global,Spread_W,0.3305785123966942,0.21865713314583393,3,35
global,Body_abs_D,0.33884297520661155,0.29797944425322226,3,36
global,Close_M_lag1,0.3526170798898072,0.13436637353451458,3,37
global,ADX_14,0.3608815426997245,0.3129966399412779,3,38
global,Spread_M,0.3636363636363636,0.03787252640459371,3,39
global,Open_M,0.4022038567493113,0.012624175468197902,3,40
global,VMD_IMF_1,0.40495867768595045,0.18461411490651802,3,41
global,Volume_MA_20,0.42699724517906334,0.19528163744845486,3,42
global,VMD_Noise_Energy_Ratio,0.44352617079889806,0.2936308314572071,3,43
global,Close_Position_D,0.4490358126721763,0.4036353257827518,3,44
global,Close_M_lag3,0.4517906336088154,0.19210802613345612,3,45
global,Volatility_20,0.4517906336088154,0.40943164150046735,3,46
global,Body_to_Range_D,0.4628099173553719,0.3448371247111581,3,47
global,VMD_IMF_4,0.47107438016528924,0.06559713994375017,3,48
global,Change_pct_D_lag10,0.47382920110192833,0.37730991401400993,3,49
global,Close_Position_M,0.47382920110192833,0.17420839398085264,3,50
global,Volume_Change_5D,0.47658402203856753,0.07854863597456341,3,51
global,Upper_Shadow_D,0.48484848484848486,0.16244102465901453,3,52
global,MACD_12_26,0.4931129476584022,0.19387755713402652,3,53
global,Volume_D_lag3,0.4931129476584022,0.43780856854408146,3,54
global,Volume_D_lag5,0.4931129476584022,0.40859669064543597,3,55
global,Momentum_60,0.5041322314049587,0.26869038358692326,3,56
global,Volume_Change_20D,0.5041322314049587,0.0378725264045937,3,57
global,Volume_D_lag1,0.5068870523415978,0.282002718638798,3,58
global,Change_pct_D_lag3,0.512396694214876,0.16713841666245197,3,59
global,ROC_60,0.522038567493113,0.2898851878331878,3,60
global,Return_60D,0.522038567493113,0.2898851878331878,3,61
global,Volume_Ratio_20,0.5234159779614326,0.32011683089137855,3,62
global,Lower_Shadow_D,0.5289256198347108,0.28961017302372283,3,63
global,PlusDI_14,0.5316804407713499,0.25610946649865485,3,64
global,MACD_Histogram,0.5344352617079889,0.18225592184047484,3,65
global,Body_M,0.5371900826446281,0.28593130400010236,3,66
global,Volume_Ratio_5,0.5371900826446281,0.19487315905043964,3,67
global,Direction_lag2,0.5426997245179063,0.21964406903887215,3,68
global,MACD_Signal_9,0.5482093663911846,0.30660303092665697,3,69
global,High_M,0.559228650137741,0.15818046523367044,3,70
global,Change_pct_M,0.5619834710743802,0.30845384473589293,3,71
global,CCI_20,0.5702479338842975,0.024793388429752067,3,72
global,Volatility_60,0.5730027548209367,0.4367151518474102,3,73
global,Body_W,0.5840220385674931,0.06881540494102915,3,74
global,Direction_lag3,0.5840220385674931,0.33573797409649014,3,75
global,Volume_W,0.5867768595041322,0.45813757195157684,3,76
global,Body_D,0.5895316804407714,0.36083948191371923,3,77
global,StochD_3,0.6088154269972451,0.17342248744393543,3,78
global,Close_to_SMA_60,0.6143250688705234,0.3361446007785363,3,79
global,Down_Ratio_20,0.6225895316804407,0.14051612234489413,3,80
global,Up_Ratio_20,0.6253443526170799,0.14051612234489413,3,81
global,Change_pct_D_lag2,0.628099173553719,0.5224944766305369,3,82
global,Volume_M,0.6611570247933884,0.2842542730895841,3,83
global,RSI_14,0.6639118457300276,0.11461511880283598,3,84
global,Volatility_5,0.6639118457300276,0.27476490666207565,3,85
global,Up_Ratio_5,0.6666666666666666,0.1850913735573676,3,86
global,VMD_IMF_2,0.6694214876033057,0.5232782187860077,3,87
global,Change_pct_D,0.6749311294765841,0.29455980028941975,3,88
global,Return_1D,0.6776859504132231,0.2859313040001024,3,89
global,ROC_10,0.6790633608815426,0.06930989325294289,3,90
global,Return_10D,0.6790633608815426,0.06930989325294289,3,91
global,Down_Ratio_10,0.6887052341597796,0.2053820163684928,3,92
global,Ratio_Close_D_to_W,0.6887052341597796,0.379655904994521,3,93
global,Down_Ratio_5,0.6914600550964187,0.22732280940803615,3,94
global,Momentum_10,0.6942148760330579,0.10322310741154375,3,95
global,ROC_5,0.6955922865013774,0.2211934233184113,3,96
