regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank,selection_fold
bear,Close_D,0.0,0.0,5,1,fold_1
bear,WMA_60,0.057851239669421496,0.057555323459438514,5,2,fold_1
bear,SMA_60,0.07107438016528926,0.058904230351092435,5,3,fold_1
bear,WMA_5,0.07272727272727272,0.07142905929365918,5,4,fold_1
bear,WMA_10,0.08925619834710743,0.04725943291072991,5,5,fold_1
bear,Close_M,0.09586776859504133,0.07896779626837193,5,6,fold_1
bear,SMA_5,0.09586776859504133,0.06830067276494012,5,7,fold_1
bear,Close_D_lag1,0.10247933884297522,0.08067910652473244,5,8,fold_1
bear,VMD_Denoised_Close,0.12231404958677686,0.09733137534173412,5,9,fold_1
bear,Direction_lag1,0.14049586776859505,0.0884336138803004,5,10,fold_1
bear,Close_W_lag2,0.15041322314049588,0.06570117988215468,5,11,fold_1
bear,Close_W_lag1,0.16033057851239668,0.1616964905969666,5,12,fold_1
bear,WilliamsR_14,0.16198347107438016,0.06879886078766087,5,13,fold_1
bear,Low_D,0.1669421487603306,0.08793015588939099,5,14,fold_1
bear,Open_W,0.1669421487603306,0.14042292710376605,5,15,fold_1
bear,Close_D_lag20,0.1933884297520661,0.12837879372372663,5,16,fold_1
bear,Close_D_lag60,0.20495867768595039,0.21790616195275364,5,17,fold_1
bear,StochK_14,0.2115702479338843,0.13217974197371737,5,18,fold_1
bear,Low_M,0.21322314049586777,0.11737283073485735,5,19,fold_1
bear,Close_D_lag5,0.21487603305785125,0.07619458229167674,5,20,fold_1
bear,SMA_20,0.21487603305785125,0.20652890908429422,5,21,fold_1
bear,WMA_20,0.2231404958677686,0.18736833138437411,5,22,fold_1
bear,Low_W,0.228099173553719,0.09789115781709777,5,23,fold_1
bear,Close_M_lag3,0.22975206611570248,0.1529930427024738,5,24,fold_1
bear,SMA_10,0.23305785123966943,0.24421452643624209,5,25,fold_1
bear,Open_M,0.23801652892561984,0.12249818616767597,5,26,fold_1
bear,High_W,0.24462809917355371,0.28668276733016057,5,27,fold_1
bear,Direction_lag2,0.24628099173553722,0.11352737072062792,5,28,fold_1
bear,Close_D_lag3,0.256198347107438,0.11861735615212664,5,29,fold_1
bear,Close_M_lag1,0.256198347107438,0.31442995669002977,5,30,fold_1
bear,Close_W_lag4,0.259504132231405,0.254969058282858,5,31,fold_1
bear,Direction_lag5,0.27107438016528923,0.1039484144365628,5,32,fold_1
bear,Close_W,0.2727272727272727,0.14644665410470536,5,33,fold_1
bear,Momentum_60,0.27272727272727276,0.09761166785965054,5,34,fold_1
bear,VMD_IMF_1,0.27603305785123966,0.15099334137665166,5,35,fold_1
bear,High_M,0.287603305785124,0.2196233371431217,5,36,fold_1
bear,High_D,0.31074380165289256,0.1831841998156116,5,37,fold_1
bear,MinusDI_14,0.31239669421487604,0.10766029136847648,5,38,fold_1
bear,PlusDI_14,0.3140495867768595,0.07840357835128213,5,39,fold_1
bear,Close_D_lag10,0.32727272727272727,0.2034132619226583,5,40,fold_1
