model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_4,2025,789,Global-All,10,1,1,0,21.19557779999741,0.6820727000012994,10129,234,40.669625131136314,30.838737955205488,4.064632666822197,0.36150272702380415,0.5170940170940171,0.5239035087719298,0.05635427142587787,1.0,234,0,0,31,89,24,90,0.7649572649572649
lstm_attention,fold_4,2025,789,Global3-All,10,3,3,0,64.97939849999966,2.1492370999767445,30387,234,46.05087977061694,35.28981243717706,4.645085431854714,0.18135696528643475,0.5213675213675214,0.5276315789473685,0.06325989947852169,1.0,234,0,0,34,86,26,88,0.7435897435897436
lstm_attention,fold_4,2025,789,Global-SHAP,10,1,0,1,21.19557779999741,0.6820727000012994,10129,234,40.669625131136314,30.838737955205488,4.064632666822197,0.36150272702380415,0.5170940170940171,0.5239035087719298,0.05635427142587787,1.0,234,0,0,31,89,24,90,0.7649572649572649
lstm_attention,fold_4,2025,789,Global-Spearman,10,1,0,1,21.19557779999741,0.6820727000012994,10129,234,40.669625131136314,30.838737955205488,4.064632666822197,0.36150272702380415,0.5170940170940171,0.5239035087719298,0.05635427142587787,1.0,234,0,0,31,89,24,90,0.7649572649572649
lstm_attention,fold_4,2025,789,Regime-All,10,3,3,0,31.575325299985707,1.8951933999924222,30387,234,19.859303334695692,15.153427997325746,1.933355600361552,0.8477537070646067,0.5085470085470085,0.5133771929824561,0.02886447538962456,1.0,234,0,0,39,81,34,80,0.688034188034188
lstm_attention,fold_4,2025,789,Regime-SHAP,10,3,2,1,28.677000399999088,1.9204841000027955,21811,234,19.043111842365736,14.854700534366655,1.892029062038945,0.8600107959645055,0.5042735042735043,0.5070175438596491,0.014362171029579375,1.0,234,0,0,48,72,44,70,0.6068376068376068
lstm_attention,fold_4,2025,789,Regime-Spearman,10,3,2,1,28.652310100005707,1.8084046000003582,21811,234,20.05673592562189,15.990351451705402,2.0281908493235945,0.8447115264542491,0.5213675213675214,0.5199561403508772,0.040147753427348304,1.0,234,0,0,69,51,61,53,0.4444444444444444
