model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_1,2022,2025,News-Only,5,241,3.8594396999978926,0.3690827999962494,54.57043972987539,45.98299440412604,4.635946542794192,-5.011791844790961,0.48333333333333334,0.5265265968659968,0.08632567999466026,1.0,240,1,0,99,8,116,17,0.10416666666666667
lstm,fold_1,2022,2025,Global-Numeric-Shuffled-News,5,241,3.7805197999987286,0.3685817000005045,15.916861899110613,12.74109586365985,1.300848219289772,0.4885491265620383,0.48333333333333334,0.4881596514651113,-0.023640861285654107,1.0,240,1,0,57,50,74,59,0.45416666666666666
lstm,fold_1,2022,2025,Global-Numeric-Lagged-News,5,241,3.753014100002474,0.3675258000002941,16.17111879681895,12.45377957593852,1.272061103667896,0.47207872606662504,0.5166666666666667,0.527369826435247,0.055445443601929566,1.0,240,1,0,67,40,76,57,0.4041666666666667
lstm,fold_1,2022,2025,Global-Numeric-Random-Features,5,241,3.74544550000428,0.3545254999989993,15.002527353054926,11.845521533330938,1.2093019984257323,0.5456213856980515,0.4791666666666667,0.48074625816878647,-0.038302137584411415,1.0,240,1,0,53,54,71,62,0.48333333333333334
