stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,cnn,full_ta,3,42,fold_1,2012,2017,2018,1385,245,13.816855533223606,11.04350940134094,0.9845752924025752,0.8968328048784306,0.5061224489795918,0.507463681194189,0.019803542426391908,1.0,245,0,0,22,101,20,102,0.8285714285714286,4.911601399995561
window_selection,cnn,full_ta,3,42,fold_2,2012,2018,2019,1630,244,28.052470629326958,25.764339727202255,2.355634497434559,-0.2873037492594832,0.47950819672131145,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,5.097843900002772
window_selection,cnn,full_ta,3,42,fold_3,2012,2019,2020,1874,243,48.697651129059004,36.596705440551865,4.285857752707902,0.7037912969338628,0.5206611570247934,0.509499726626572,0.04374600604698713,1.0,242,1,0,119,5,111,7,0.049586776859504134,5.479144899996754
window_selection,cnn,full_ta,3,42,fold_4,2012,2020,2021,2117,240,18.037360760452618,15.064587861140586,1.5709575954610648,0.29061436381336514,0.525,0.505330638979862,0.014425139321658703,1.0,240,0,0,19,94,20,107,0.8375,5.93959399999585
