track,comparison_id,comparison_label,model,metric,control_label,treatment_label,control_value,treatment_value,delta,delta_unit,better_when,improved,improved_count_within_comparison_metric,raw_pvalue,holm_adjusted_pvalue,statistical_status,evidence_class,temporal_units,seeds,source_artifact,note
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn_attention,direction_accuracy,Full TA,Full TA + causal VMD,0.5030642027288823,0.49848798080541745,-0.45762219234648516,percentage_points,higher,False,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn_attention,rmse,Full TA,Full TA + causal VMD,45.74380661250379,47.288251731217166,1.5444451187133765,index_points,lower,False,2,0.875,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm,balanced_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5095527019729919,0.5213404017263424,1.178769975335059,percentage_points,higher,True,2,0.25,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm,direction_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5036069293763035,0.5240721831984871,2.046525382218367,percentage_points,higher,True,2,0.125,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm,rmse,Technical + VMD,Technical + VMD + predicted news,17.530886529554973,16.930790973967248,-0.6000955555877248,index_points,lower,True,3,1.0,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,cnn,balanced_accuracy,Technical + VMD,Technical + VMD + predicted news,0.518188080309762,0.5174854574927246,-0.07026228170374793,percentage_points,higher,False,2,1.0,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,cnn,direction_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5178007150780995,0.5162091683775737,-0.15915467005258588,percentage_points,higher,False,2,1.0,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,cnn,rmse,Technical + VMD,Technical + VMD + predicted news,27.629240713120332,28.200468011701822,0.5712272985814906,index_points,lower,False,3,0.625,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn,balanced_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5278616895605046,0.5188892345589295,-0.8972455001575064,percentage_points,higher,False,2,0.25,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn,direction_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5229464656886416,0.5144601074947572,-0.8486358193884325,percentage_points,higher,False,2,0.25,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
