fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
fold_1,2012,2021,2022,2359,241,14.312323751468833,11.055849056342817,1.122358361033315,0.5864678003799686,0.5352697095435685
fold_2,2012,2022,2023,2600,243,16.397658953850893,13.405586846787262,1.4537951371677718,0.8641832103659667,0.522633744855967
fold_3,2012,2023,2024,2843,244,13.213969749951115,10.74408339741779,1.2539913670944292,0.9099596761402925,0.4713114754098361
fold_4,2012,2024,2025,3087,234,19.547923181085785,15.645645699401022,1.991373565085354,0.8524905120682961,0.47863247863247865
