year,source_contract,pairs_before_membership,pairs_after_membership,headline_chars_mean,headline_chars_median,predicted_relevant_rate,relevance_probability_mean,sentiment_confidence_mean,selected_pairs,predicted_positive_ratio,predicted_neutral_ratio,predicted_negative_ratio,relevance_nonzero_vector_rate,relevance_char_ngram_nnz_mean,sentiment_nonzero_vector_rate,sentiment_char_ngram_nnz_mean
2019,stocktbsa_headline_proxy,3171.0,3171,173.66635130873541,173.0,0.7865026805424157,0.699503711662599,0.7028202379851427,2494,0.5424156417533901,0.3673919899085462,0.0901923683380637,1.0,321.74109113844213,1.0,320.9631031220435
2020,stocktbsa_headline_proxy,3023.0,3023,169.4647700959312,88.0,0.7393317896129673,0.6621180101630919,0.6787721333713326,2235,0.5610320873304664,0.3397287462785313,0.09923916639100232,1.0,318.9791597750579,1.0,315.97717499173007
2021,stocktbsa_headline_proxy,2868.0,2868,208.91562064156207,220.0,0.700836820083682,0.6269494457229421,0.7018677341038024,2010,0.6562064156206415,0.22419804741980473,0.1195955369595537,1.0,360.9668758716876,1.0,357.23675034867506
2022,stocktbsa_headline_proxy,1822.0,1822,253.91163556531285,246.0,0.7585071350164654,0.6612866048860693,0.7279525685229743,1382,0.5982436882546652,0.31833150384193193,0.08342480790340286,1.0,409.8660812294182,1.0,407.0312843029638
2023,stocktbsa_headline_proxy,1845.0,1845,259.94579945799455,250.0,0.7116531165311654,0.6370060251894007,0.7556715860410242,1313,0.5685636856368563,0.36964769647696477,0.061788617886178863,1.0,474.3051490514905,1.0,468.46449864498646
2024,official_set_headline_point_in_time_set50,32966.0,2099,66.39876131491187,56.0,0.5826584087660791,0.5330927456576728,0.49435958266432034,1223,0.3458789899952358,0.3835159599809433,0.27060505002382085,1.0,202.44735588375417,1.0,200.71462601238684
2025,official_set_headline_point_in_time_set50,36858.0,2520,64.80238095238096,53.0,0.6226190476190476,0.5512568079136416,0.49749073135325467,1569,0.3896825396825397,0.37103174603174605,0.2392857142857143,1.0,201.78650793650795,1.0,200.7079365079365
