variant,test_year,observations,direction_evaluable,direction_accuracy,balanced_accuracy,mcc,predicted_up_share,tn,fp,fn,tp,brier_score,binary_crossentropy
negative_memory_only,2024,244,244,0.5163934426229508,0.5162527760952957,0.03247933274515501,0.4959016393442623,66,61,57,60,0.2510790005021281,0.6953217432418957
negative_memory_only,2025,234,234,0.49572649572649574,0.4960526315789474,-0.007894736842105263,0.5128205128205128,58,62,56,58,0.2515557368651331,0.6963288031521194
positive_memory_only,2024,244,244,0.4959016393442623,0.5113735783027121,0.03460623836904338,0.8770491803278688,17,110,13,104,0.2550605879861426,0.7034310709069241
positive_memory_only,2025,234,234,0.5299145299145299,0.5403508771929825,0.13821231898973405,0.905982905982906,16,104,6,108,0.2515012266401757,0.696635189214211
sea_lstm,2024,244,244,0.4959016393442623,0.5043071539134532,0.00943592991732748,0.7049180327868853,38,89,34,83,0.25747057107683263,0.7083713486156823
sea_lstm,2025,234,234,0.5085470085470085,0.5146929824561404,0.03345761930928802,0.7393162393162394,33,87,28,86,0.2532061645569359,0.6997886649036507
standard_lstm,2024,244,244,0.47540983606557374,0.48966956053570226,-0.028777797307047596,0.8483606557377049,18,109,19,98,0.2542062652195652,0.7016672256588309
standard_lstm,2025,234,234,0.49572649572649574,0.5074561403508772,0.036852173704775094,0.9572649572649573,6,114,4,110,0.25201018830620786,0.6972502653209313
