variant,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,brier_score_mean,binary_crossentropy_mean,predicted_up_share_mean,years
positive_memory_only,0.5258622277478473,0.020490044545779577,0.5129080846293961,0.08640927867938872,0.25328090731315916,0.7000331300605676,0.8915160431553875,2
sea_lstm,0.5095000681847968,0.007343889790774928,0.5022243239456354,0.02144677461330775,0.25533836781688424,0.7040800067596664,0.7221171360515624,2
negative_memory_only,0.5061527038371216,0.014283659168458194,0.5060599691747233,0.012292297951524872,0.25131736868363064,0.6958252731970076,0.5043610760823876,2
standard_lstm,0.49856285044328974,0.012577011201425918,0.48556816589603474,0.004037188198863749,0.2531082267628865,0.6994587454898811,0.9028128065013311,2
