model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_4,2025,2025,News-Only,20,234,4.47048299999733,0.22255740000400692,125.21544889638957,108.57981864399379,14.138393995821943,-5.052496369501078,0.48717948717948717,0.5,0.0,1.0,234,0,0,0,120,0,114,1.0
cnn,fold_4,2025,2025,Global-Numeric-Shuffled-News,20,234,6.053861500004132,0.2689747999975225,20.82389754070909,16.80374833755514,2.1158945589571965,0.8326048986897129,0.5512820512820513,0.5478070175438596,0.09937155783071763,1.0,234,0,0,82,38,67,47,0.36324786324786323
cnn,fold_4,2025,2025,Global-Numeric-Lagged-News,20,234,6.1442548999984865,0.23790210000152,22.463777928923616,18.188092177084883,2.296060674822717,0.8052020858130887,0.5256410256410257,0.5245614035087719,0.0492870102943036,1.0,234,0,0,68,52,59,55,0.45726495726495725
cnn,fold_4,2025,2025,Global-Numeric-Random-Features,20,234,5.9805211999992025,0.26456250000046566,21.785996745615265,17.401329921683953,2.2002027194868035,0.8167797054988812,0.5170940170940171,0.5140350877192983,0.028900753860172053,1.0,234,0,0,76,44,69,45,0.3803418803418803
