inner_fold,seed,anchor_split,strategy,anchor_index,source_index,anchor_date,source_date,source_partition,source_before_anchor,endpoint_gap_rows,regime_agreement,coverage_distance,same_year
inner_2020,456,train,matched,5,0,2019-01-15,2019-01-08,inner_train,True,5.0,True,2.4894806201076367,True
inner_2020,456,train,matched,6,1,2019-01-16,2019-01-09,inner_train,True,5.0,True,1.4799201556559574,True
inner_2020,456,train,matched,7,1,2019-01-17,2019-01-09,inner_train,True,6.0,True,1.4075523231524798,True
inner_2020,456,train,matched,8,3,2019-01-18,2019-01-11,inner_train,True,5.0,True,0.34937564145712097,True
inner_2020,456,train,matched,9,3,2019-01-21,2019-01-11,inner_train,True,6.0,True,0.4726738578016141,True
inner_2020,456,train,matched,10,4,2019-01-22,2019-01-14,inner_train,True,6.0,True,0.490622916448471,True
inner_2020,456,train,matched,11,4,2019-01-23,2019-01-14,inner_train,True,7.0,True,0.5670840825429484,True
inner_2020,456,train,matched,17,12,2019-01-31,2019-01-24,inner_train,True,5.0,True,0.7202063286739513,True
inner_2020,456,train,matched,18,12,2019-02-01,2019-01-24,inner_train,True,6.0,True,0.7296168603413373,True
inner_2020,456,train,matched,19,12,2019-02-04,2019-01-24,inner_train,True,7.0,True,0.5915889508518579,True
inner_2020,456,train,matched,20,15,2019-02-05,2019-01-29,inner_train,True,5.0,True,0.5069720544500007,True
inner_2020,456,train,matched,21,12,2019-02-06,2019-01-24,inner_train,True,9.0,True,0.8630105024318588,True
inner_2020,456,train,matched,22,17,2019-02-07,2019-01-31,inner_train,True,5.0,True,0.07991209969320279,True
inner_2020,456,train,matched,23,13,2019-02-08,2019-01-25,inner_train,True,10.0,True,0.232622295268754,True
inner_2020,456,train,matched,24,13,2019-02-11,2019-01-25,inner_train,True,11.0,True,0.058268908123976004,True
inner_2020,456,train,matched,25,19,2019-02-12,2019-02-04,inner_train,True,6.0,True,0.24941869311600717,True
inner_2020,456,train,matched,26,12,2019-02-13,2019-01-24,inner_train,True,14.0,True,0.3307415619122285,True
inner_2020,456,train,matched,27,17,2019-02-14,2019-01-31,inner_train,True,10.0,True,0.3429447511268302,True
inner_2020,456,train,matched,28,4,2019-02-15,2019-01-14,inner_train,True,24.0,True,0.21732958144878944,True
inner_2020,456,train,matched,29,9,2019-02-18,2019-01-21,inner_train,True,20.0,True,0.30054022739514963,True
inner_2020,456,train,matched,30,6,2019-02-20,2019-01-16,inner_train,True,24.0,True,0.29062139852349533,True
inner_2020,456,train,matched,31,4,2019-02-21,2019-01-14,inner_train,True,27.0,True,0.3394322782496899,True
inner_2020,456,train,matched,32,27,2019-02-22,2019-02-14,inner_train,True,5.0,True,0.09985951946747873,True
inner_2020,456,train,matched,33,24,2019-02-25,2019-02-11,inner_train,True,9.0,True,0.13613217432457958,True
inner_2020,456,train,matched,34,24,2019-02-26,2019-02-11,inner_train,True,10.0,True,0.14792013007662197,True
inner_2020,456,train,matched,35,21,2019-02-27,2019-02-06,inner_train,True,14.0,True,0.12498101017870944,True
inner_2020,456,train,matched,36,5,2019-02-28,2019-01-15,inner_train,True,31.0,True,0.4585749334221121,True
inner_2020,456,train,matched,37,28,2019-03-01,2019-02-15,inner_train,True,9.0,True,0.2837681731306443,True
inner_2020,456,train,matched,43,38,2019-03-11,2019-03-04,inner_train,True,5.0,True,0.38014730012387465,True
inner_2020,456,train,matched,44,39,2019-03-12,2019-03-05,inner_train,True,5.0,True,0.13758566295256314,True
inner_2020,456,train,matched,45,7,2019-03-13,2019-01-17,inner_train,True,38.0,True,0.13844540742695166,True
inner_2020,456,train,matched,46,7,2019-03-14,2019-01-17,inner_train,True,39.0,True,0.16987561073390278,True
inner_2020,456,train,matched,47,29,2019-03-15,2019-02-18,inner_train,True,18.0,True,0.11107722678919263,True
inner_2020,456,train,matched,48,37,2019-03-18,2019-03-01,inner_train,True,11.0,True,0.15023678050612155,True
inner_2020,456,train,matched,49,29,2019-03-19,2019-02-18,inner_train,True,20.0,True,0.21193110028053086,True
inner_2020,456,train,matched,50,9,2019-03-20,2019-01-21,inner_train,True,41.0,True,0.2596456402284977,True
inner_2020,456,train,matched,51,30,2019-03-21,2019-02-20,inner_train,True,21.0,True,0.13774547387135394,True
inner_2020,456,train,matched,52,27,2019-03-22,2019-02-14,inner_train,True,25.0,True,0.1420765311960981,True
inner_2020,456,train,matched,53,47,2019-03-25,2019-03-15,inner_train,True,6.0,True,0.502091943797236,True
inner_2020,456,train,matched,54,9,2019-03-26,2019-01-21,inner_train,True,45.0,True,0.0,True
inner_2020,456,train,matched,55,48,2019-03-27,2019-03-18,inner_train,True,7.0,True,0.07257069283483508,True
inner_2020,456,train,matched,56,36,2019-03-28,2019-02-28,inner_train,True,20.0,True,0.13720112151348474,True
inner_2020,456,train,matched,57,36,2019-03-29,2019-02-28,inner_train,True,21.0,True,0.14673408217220896,True
inner_2020,456,train,matched,58,15,2019-04-01,2019-01-29,inner_train,True,43.0,True,0.17416954671775065,True
inner_2020,456,train,matched,59,35,2019-04-02,2019-02-27,inner_train,True,24.0,True,0.15724187239693066,True
inner_2020,456,train,matched,60,17,2019-04-03,2019-01-31,inner_train,True,43.0,True,0.04884313167388088,True
inner_2020,456,train,matched,61,19,2019-04-04,2019-02-04,inner_train,True,42.0,True,0.15894110814989126,True
