inner_fold,seed,anchor_split,strategy,anchor_index,source_index,anchor_date,source_date,source_partition,source_before_anchor,endpoint_gap_rows,regime_agreement,coverage_distance,same_year
inner_2020,42,train,matched,5,0,2019-01-15,2019-01-08,inner_train,True,5.0,True,2.4894806201076367,True
inner_2020,42,train,matched,6,1,2019-01-16,2019-01-09,inner_train,True,5.0,True,1.4799201556559574,True
inner_2020,42,train,matched,7,0,2019-01-17,2019-01-08,inner_train,True,7.0,True,2.5231723595644837,True
inner_2020,42,train,matched,8,1,2019-01-18,2019-01-09,inner_train,True,7.0,True,1.0554068525770983,True
inner_2020,42,train,matched,9,3,2019-01-21,2019-01-11,inner_train,True,6.0,True,0.4726738578016141,True
inner_2020,42,train,matched,10,3,2019-01-22,2019-01-11,inner_train,True,7.0,True,0.5144553918165693,True
inner_2020,42,train,matched,11,6,2019-01-23,2019-01-16,inner_train,True,5.0,True,0.8261396348798575,True
inner_2020,42,train,matched,17,12,2019-01-31,2019-01-24,inner_train,True,5.0,True,0.7202063286739513,True
inner_2020,42,train,matched,18,13,2019-02-01,2019-01-25,inner_train,True,5.0,True,0.13235145148467398,True
inner_2020,42,train,matched,19,12,2019-02-04,2019-01-24,inner_train,True,7.0,True,0.5915889508518579,True
inner_2020,42,train,matched,20,13,2019-02-05,2019-01-25,inner_train,True,7.0,True,0.019048194970694432,True
inner_2020,42,train,matched,21,14,2019-02-06,2019-01-28,inner_train,True,7.0,True,0.07786218233604147,True
inner_2020,42,train,matched,22,16,2019-02-07,2019-01-30,inner_train,True,6.0,True,0.14660347419187492,True
inner_2020,42,train,matched,23,18,2019-02-08,2019-02-01,inner_train,True,5.0,True,0.364973746753428,True
inner_2020,42,train,matched,24,16,2019-02-11,2019-01-30,inner_train,True,8.0,True,0.18232155679395445,True
inner_2020,42,train,matched,25,12,2019-02-12,2019-01-24,inner_train,True,13.0,True,0.34217025773585075,True
inner_2020,42,train,matched,26,12,2019-02-13,2019-01-24,inner_train,True,14.0,True,0.3307415619122285,True
inner_2020,42,train,matched,27,17,2019-02-14,2019-01-31,inner_train,True,10.0,True,0.3429447511268302,True
inner_2020,42,train,matched,28,5,2019-02-15,2019-01-15,inner_train,True,23.0,True,0.2102401464783017,True
inner_2020,42,train,matched,29,8,2019-02-18,2019-01-18,inner_train,True,21.0,True,0.09880058474409337,True
inner_2020,42,train,matched,30,5,2019-02-20,2019-01-15,inner_train,True,25.0,True,0.40296041049315523,True
inner_2020,42,train,matched,31,6,2019-02-21,2019-01-16,inner_train,True,25.0,True,0.22000383130954226,True
inner_2020,42,train,matched,32,20,2019-02-22,2019-02-05,inner_train,True,12.0,True,0.1010961168713691,True
inner_2020,42,train,matched,33,24,2019-02-25,2019-02-11,inner_train,True,9.0,True,0.13613217432457958,True
inner_2020,42,train,matched,34,19,2019-02-26,2019-02-04,inner_train,True,15.0,True,0.13493293454981092,True
inner_2020,42,train,matched,35,14,2019-02-27,2019-01-28,inner_train,True,21.0,True,0.20284319251475091,True
inner_2020,42,train,matched,36,28,2019-02-28,2019-02-15,inner_train,True,8.0,True,0.5205991355929704,True
inner_2020,42,train,matched,37,31,2019-03-01,2019-02-21,inner_train,True,6.0,True,0.3356882303090041,True
inner_2020,42,train,matched,43,38,2019-03-11,2019-03-04,inner_train,True,5.0,True,0.38014730012387465,True
inner_2020,42,train,matched,44,39,2019-03-12,2019-03-05,inner_train,True,5.0,True,0.13758566295256314,True
inner_2020,42,train,matched,45,31,2019-03-13,2019-02-21,inner_train,True,14.0,True,0.20607073700561784,True
inner_2020,42,train,matched,46,7,2019-03-14,2019-01-17,inner_train,True,39.0,True,0.16987561073390278,True
inner_2020,42,train,matched,47,31,2019-03-15,2019-02-21,inner_train,True,16.0,True,0.14660347419187536,True
inner_2020,42,train,matched,48,7,2019-03-18,2019-01-17,inner_train,True,41.0,True,0.15906469462968698,True
inner_2020,42,train,matched,49,30,2019-03-19,2019-02-20,inner_train,True,19.0,True,0.17683978046926052,True
inner_2020,42,train,matched,50,30,2019-03-20,2019-02-20,inner_train,True,20.0,True,0.07598590697792229,True
inner_2020,42,train,matched,51,8,2019-03-21,2019-01-18,inner_train,True,43.0,True,0.15206951362343357,True
inner_2020,42,train,matched,52,12,2019-03-22,2019-01-24,inner_train,True,40.0,True,0.235185046351023,True
inner_2020,42,train,matched,53,10,2019-03-25,2019-01-22,inner_train,True,43.0,True,0.03390155167568132,True
inner_2020,42,train,matched,54,47,2019-03-26,2019-03-15,inner_train,True,7.0,True,0.2596456402284977,True
inner_2020,42,train,matched,55,6,2019-03-27,2019-01-16,inner_train,True,49.0,True,0.09105873094696681,True
inner_2020,42,train,matched,56,37,2019-03-28,2019-03-01,inner_train,True,19.0,True,0.15760491469534532,True
inner_2020,42,train,matched,57,45,2019-03-29,2019-03-13,inner_train,True,12.0,True,0.3530971225908486,True
inner_2020,42,train,matched,58,14,2019-04-01,2019-01-28,inner_train,True,44.0,True,0.029852963149681333,True
inner_2020,42,train,matched,59,35,2019-04-02,2019-02-27,inner_train,True,24.0,True,0.15724187239693066,True
inner_2020,42,train,matched,60,21,2019-04-03,2019-02-06,inner_train,True,39.0,True,0.09396104208402667,True
inner_2020,42,train,matched,61,20,2019-04-04,2019-02-05,inner_train,True,41.0,True,0.10673319946979865,True
inner_2020,42,train,matched,62,8,2019-04-05,2019-01-18,inner_train,True,54.0,True,0.15236336925316252,True
inner_2020,42,train,matched,63,23,2019-04-09,2019-02-08,inner_train,True,40.0,True,0.2972515234679314,True
inner_2020,42,train,matched,64,26,2019-04-10,2019-02-13,inner_train,True,38.0,True,0.5538851132264382,True
inner_2020,42,train,matched,65,23,2019-04-11,2019-02-08,inner_train,True,42.0,True,0.6286086594223739,True
inner_2020,42,train,matched,66,25,2019-04-12,2019-02-12,inner_train,True,41.0,True,0.5151640253645886,True
inner_2020,42,train,matched,67,25,2019-04-17,2019-02-12,inner_train,True,42.0,True,0.39738098970820523,True
inner_2020,42,train,matched,68,26,2019-04-18,2019-02-13,inner_train,True,42.0,True,0.35855331969646853,True
inner_2020,42,train,matched,69,61,2019-04-19,2019-04-04,inner_train,True,8.0,True,0.07410797215372167,True
inner_2020,42,train,matched,70,23,2019-04-22,2019-02-08,inner_train,True,47.0,True,0.28464716875662655,True
inner_2020,42,train,matched,71,64,2019-04-23,2019-04-10,inner_train,True,7.0,True,0.3646431135879098,True
inner_2020,42,train,matched,72,13,2019-04-24,2019-01-25,inner_train,True,59.0,True,0.24219174628490414,True
inner_2020,42,train,matched,73,61,2019-04-25,2019-04-04,inner_train,True,12.0,True,0.09280010516587422,True
inner_2020,42,train,matched,74,20,2019-04-26,2019-02-05,inner_train,True,54.0,True,0.10536051565782634,True
inner_2020,42,train,matched,75,56,2019-04-29,2019-03-28,inner_train,True,19.0,True,0.07801636452830385,True
