feature_index,feature,cnn_shap_importance,lstm_shap_importance,selected_cnn,selected_lstm
0,Open_D,0.00030462950846301686,0.006668188882963477,True,True
1,High_D,0.00012960655160741962,0.007744674684113306,False,True
2,Low_D,0.00014276395985728785,0.004263915760263614,False,False
3,Close_D,0.0001262341186160143,0.0040314722011089545,False,False
4,Volume_D,0.00015616535315214343,0.0040970172975647754,False,False
5,Change_pct_D,0.0001288369372203519,0.004076735725894664,False,False
6,Open_W,0.00015610255709233578,0.0032572069365564005,False,False
7,High_W,0.0003097897495411152,0.003917794008862868,True,False
8,Low_W,0.0002452002281289889,0.007092494176555419,False,True
9,Close_W,0.00022852236855466223,0.008151580536176085,False,True
10,Volume_W,0.0001480126521114289,0.0054793338560159555,False,False
11,Change_pct_W,0.00016956686985034747,0.003025858105417001,False,False
12,Open_M,0.0002233890529630078,0.006029355323249774,False,True
13,High_M,0.00033271105705927616,0.003953874180810502,True,False
14,Low_M,0.0005326440355673867,0.011177889282129172,True,True
15,Close_M,0.0002538949231016607,0.0035359435178236253,True,False
16,Volume_M,0.0003587244179958038,0.013558766183928128,True,True
17,Change_pct_M,0.0003167924865260741,0.006053839389038274,True,True
18,Close_D_lag1,0.000225722409509288,0.006198687380737056,False,True
19,Close_D_lag2,0.00014000916883014357,0.0033373694032889033,False,False
20,Close_D_lag3,0.00014958863801432242,0.005961132825473214,False,False
21,Close_D_lag5,0.000304023669917175,0.005250798275977786,True,False
22,Close_D_lag10,0.00021805036610222928,0.005586676676444214,False,False
23,Close_D_lag20,0.0002646557815568634,0.00578530474854233,True,False
24,Close_D_lag60,0.0001413228624824514,0.0039218043880907775,False,False
25,Change_pct_D_lag1,0.00027229667283730356,0.005663064701070653,True,False
26,Change_pct_D_lag2,0.00024192736227596074,0.006231776070001161,False,True
27,Change_pct_D_lag3,0.00022033633451084,0.003516703848085889,False,False
28,Change_pct_D_lag5,0.0002986577962073793,0.004336461856010487,True,False
29,Change_pct_D_lag10,0.00012967091932541974,0.007288227055767038,False,True
30,Change_pct_D_lag20,0.00024021737654758568,0.003749508356227693,False,False
31,Volume_D_lag1,0.00017436923195480737,0.0047157170607718514,False,False
32,Volume_D_lag2,0.0001602163286013647,0.0027513167118614844,False,False
33,Volume_D_lag3,0.0001898207214326625,0.0063668495602424045,False,True
34,Volume_D_lag5,8.410209591939027e-05,0.006019779388827829,False,True
35,Volume_D_lag10,0.0001368137374178624,0.0029371405063670863,False,False
36,Volume_D_lag20,0.00018483257575645505,0.002829387256878135,False,False
37,Close_W_lag1,0.00013513162949561064,0.008596126333270605,False,True
38,Close_W_lag2,0.00017718524051217875,0.0041829243935239905,False,False
39,Close_W_lag4,0.0001528171428109626,0.0050804345910906434,False,False
40,Close_M_lag1,0.0005494201045068703,0.005148282287052552,True,False
41,Close_M_lag3,0.00015694777054692244,0.005258710488465113,False,False
42,Return_1D,0.0001594603481215845,0.0044214252033796695,False,False
43,Return_3D,0.00015036710810045761,0.0032743988780055133,False,False
44,Return_5D,0.00014903408348114765,0.005328038625839327,False,False
45,Return_10D,0.00015235662842942588,0.007431970042921421,False,True
46,Return_20D,0.0001137468867862923,0.0035608907655486632,False,False
47,Return_60D,0.00014496336194181892,0.003761048657705146,False,False
48,SMA_5,0.000510781594486387,0.005818696627056852,True,False
49,SMA_10,0.00030217436534734076,0.005540236821934741,True,False
50,SMA_20,0.00021273445626177612,0.005895961977500974,False,False
51,SMA_60,0.00022529695891878587,0.00597134331175937,False,True
52,Close_to_SMA_5,0.00018663890642182379,0.006280032996311036,False,True
53,Close_to_SMA_10,0.00012473021010034406,0.002930054920740588,False,False
54,Close_to_SMA_20,0.00015035809225609487,0.005428716608871298,False,False
55,Close_to_SMA_60,0.0002557255657564692,0.004808043538562945,True,False
56,Volatility_5,0.00028366382532650085,0.003795331248176126,True,False
57,Volatility_10,0.00020812141702540864,0.003959974379953479,False,False
58,Volatility_20,0.0002111460463873227,0.006643260134330831,False,True
59,Volatility_60,0.00014756569237400692,0.0052903331789252665,False,False
60,Momentum_5,0.00017059582822560594,0.004920112575128144,False,False
61,Momentum_10,0.000108292081666983,0.0036967926639277946,False,False
62,Momentum_20,0.00016426401446383297,0.005519116956890002,False,False
63,Momentum_60,0.00024718839786839195,0.004436757736421626,False,False
64,ROC_5,0.00022203342076084902,0.003585046870577191,False,False
65,ROC_10,0.00022694379969390166,0.003890891643266059,False,False
66,ROC_20,0.0002892256271120906,0.0049135922798612345,True,False
67,ROC_60,0.0003869435441370861,0.003730226300410777,True,False
68,Ratio_Close_D_to_W,0.00015207061383603303,0.0037785672739474307,False,False
69,Ratio_Close_D_to_M,0.0003265133187039117,0.003716516077163767,True,False
70,Ratio_Volume_D_to_W,0.0002924273308440251,0.0027393380317462857,True,False
71,Spread_D,0.00011730512972392693,0.0033768164245316255,False,False
72,Body_D,0.00022318183522319625,0.007503858414941078,False,True
73,Body_abs_D,0.0002387682588992107,0.0035555157617153553,False,False
74,Upper_Shadow_D,0.0002685916799259558,0.0024574957691314127,True,False
75,Lower_Shadow_D,0.00022560736817219817,0.008148702909397797,False,True
76,Body_to_Range_D,0.00022068425296626164,0.0027217811138491753,False,False
77,Close_Position_D,0.0002093422018452751,0.004038113681136224,False,False
78,Spread_W,0.0002449858407671646,0.006435503297785772,False,True
79,Body_W,0.00011957688309997965,0.004057949728032639,False,False
80,Close_Position_W,0.00020516366574874212,0.008151715633957224,False,True
81,Spread_M,0.00022404563104132523,0.003910524405166882,False,False
82,Body_M,0.00032017370742290773,0.005542361180798139,True,False
83,Close_Position_M,0.0002576218308464731,0.005547808357016492,True,False
84,Volume_MA_5,0.00016237390286399366,0.0038645062560490827,False,False
85,Volume_MA_20,0.0002196490207026003,0.007238750775013614,False,True
86,Volume_Ratio_5,0.0001593107779811198,0.0046893579129800855,False,False
87,Volume_Ratio_20,0.00024159577819753418,0.003772571816179138,False,False
88,Volume_Change_1D,0.00012889386873777552,0.0047850118673089526,False,False
89,Volume_Change_5D,0.00033353494784877925,0.004593327241688527,True,False
90,Volume_Change_20D,0.00020498594102756894,0.0034818482509493265,False,False
91,Direction_lag1,0.00033334888463183444,0.004332600965403799,True,False
92,Direction_lag2,0.00019513175435742093,0.004729498692319112,False,False
93,Direction_lag3,0.0002677634100669124,0.004410511025545816,True,False
94,Direction_lag5,0.00013538132024663066,0.007545502348349942,False,True
95,Up_Ratio_5,0.00018005510813248193,0.004512940461046356,False,False
96,Up_Ratio_10,0.00020584347402023278,0.0053752183723077,False,False
97,Up_Ratio_20,0.00015858613600600036,0.005472624550935734,False,False
98,Down_Ratio_5,0.00028075424059745833,0.005527724038081772,True,False
99,Down_Ratio_10,0.00019163993748588792,0.0041428890801175735,False,False
100,Down_Ratio_20,0.00033981725037012244,0.0033361927732812545,True,False
101,WMA_5,0.00013806239495626205,0.0037125225939746544,False,False
102,WMA_10,0.00022879638759309984,0.006105900643410678,False,True
103,WMA_20,0.00010979559360762004,0.006604556640250792,False,True
104,WMA_60,0.00015094670014077495,0.004733603434362976,False,False
105,StochK_14,0.00019695556674954596,0.006136160736470941,False,True
106,StochD_3,0.0002910165554542932,0.00489754689899371,True,False
107,RSI_14,0.0002504598489882062,0.004728513928807842,False,False
108,MACD_12_26,0.00015952873135289815,0.0045633604192943265,False,False
109,MACD_Signal_9,0.00015426891885012283,0.007646870081715917,False,True
110,MACD_Histogram,0.0001351529290315734,0.004913116426297393,False,False
111,WilliamsR_14,0.00016156674213103073,0.004010142610353285,False,False
112,CCI_20,0.00015244136643289275,0.003358803726692372,False,False
113,ADX_14,0.0001496503153615103,0.008314327786320064,False,True
114,PlusDI_14,0.00013177014907191363,0.005945571974621089,False,False
115,MinusDI_14,0.00014685153019887155,0.003954557066680309,False,False
116,VMD_IMF_1,0.00020648042968138825,0.004136500304088031,False,False
117,VMD_IMF_2,0.00018619356870919201,0.004368265949511852,False,False
118,VMD_IMF_3,0.00011024883407747543,0.0025496405901890284,False,False
119,VMD_IMF_4,0.00032460863094851966,0.006291625294501379,True,True
120,VMD_Denoised_Close,0.00018515924518509587,0.0038164557939239785,False,False
121,VMD_Noise_Energy_Ratio,0.0001568805712875987,0.0027651057780161636,False,False
