fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
fold_1,2012,2021,2022,2359,241,7.337420225870802,5.7857238385227765,0.5881587288062922,0.8913134474979459,0.4854771784232365
fold_2,2012,2022,2023,2600,243,7.897610334063968,6.022165822391809,0.6505169706891277,0.9684948780137653,0.48148148148148145
fold_3,2012,2023,2024,2843,244,7.573451830859166,5.805515176925103,0.6721064070669697,0.9704227244779049,0.5204918032786885
fold_4,2012,2024,2025,3087,234,21.494575031402658,15.462884333278915,2.037905401506081,0.8216486363430848,0.5555555555555556
