model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_1,2022,123,Global-Numeric,5,1,3.4086098999978276,0.34882649999053683,9041,241,29.587384972533098,25.97994034377375,2.6469277192273624,-0.767267102965776,0.44583333333333336,0.5,0.0,1.0,240,1,0,107,0,133,0,0.0
lstm,fold_1,2022,123,Global-Numeric-News,5,1,3.364551799997571,0.33708679999108426,9553,241,16.496528724667826,13.370024903948348,1.3641930127316186,0.45061833222890246,0.5375,0.5096268709156068,0.022355436944611756,1.0,240,1,0,27,80,31,102,0.7583333333333333
lstm,fold_1,2022,123,Regime-SHAP-Numeric,5,3,8.020546899992041,1.1572655999916606,18547,241,21.45086300074503,16.92192375769751,1.7291330339010282,0.07107945855831965,0.5041666666666667,0.47955168294568196,-0.0455259150224346,1.0,240,1,0,27,80,39,94,0.725
lstm,fold_1,2022,123,Regime-SHAP-Numeric-News,5,3,8.51479119999567,1.1591589999879943,20083,241,24.6166098742489,18.70260745168224,1.91050886781861,-0.22333531827459718,0.5083333333333333,0.47965708664183826,-0.04752234706225048,1.0,240,1,0,23,84,34,99,0.7625
