feature_index,feature,cnn_shap_importance,lstm_shap_importance,selected_cnn,selected_lstm
0,Open_D,0.0002735244042460394,0.0036968358309533043,False,False
1,High_D,0.0003289004317519106,0.007930083492624362,False,True
2,Low_D,0.0009021596062025016,0.007133964347050892,True,True
3,Close_D,0.0003082762516080528,0.007253668874978558,False,True
4,Volume_D,0.0002230562579474682,0.0046454139416820086,False,False
5,Change_pct_D,0.00023020962577087884,0.004054132324281312,False,False
6,Open_W,0.0005477911740676689,0.00592081521722605,True,True
7,High_W,0.0009350828076612778,0.0027923718700350263,True,False
8,Low_W,0.0002458053630573304,0.002710077625027907,False,False
9,Close_W,0.0005919844203290836,0.0031239288260158206,True,False
10,Volume_W,0.0006844964628621053,0.004001253789593306,True,False
11,Change_pct_W,0.00032135890229343376,0.0026688935468278884,False,False
12,Open_M,0.0002853335532164436,0.003383624037174826,False,False
13,High_M,0.00017481807663639605,0.004182034552486868,False,False
14,Low_M,0.000310770042216002,0.0033719858494066558,False,False
15,Close_M,0.0003053036776734408,0.0033680814236674906,False,False
16,Volume_M,0.0001845183433823977,0.0026108258491206017,False,False
17,Change_pct_M,0.0008431860201183917,0.0067019714239847875,True,True
18,Close_D_lag1,0.0002306228612726835,0.008139798063712077,False,True
19,Close_D_lag2,0.0002805695763781535,0.0035574035152905028,False,False
20,Close_D_lag3,0.0010110117382867712,0.0033196879453626592,True,False
21,Close_D_lag5,0.00036534315922310824,0.0031316606347886024,False,False
22,Close_D_lag10,0.0002767650189234638,0.00551251611753969,False,True
23,Close_D_lag20,0.00037963246962505746,0.007683581494138281,False,True
24,Close_D_lag60,0.00028145782010003393,0.002284323684917311,False,False
25,Change_pct_D_lag1,0.00023718697182815163,0.004238003759533626,False,False
26,Change_pct_D_lag2,0.00026891979990224525,0.004024589807716694,False,False
27,Change_pct_D_lag3,0.0002488762798048494,0.0033958657033995366,False,False
28,Change_pct_D_lag5,0.0005360970981782787,0.005295444667365245,False,False
29,Change_pct_D_lag10,0.00026344639377948176,0.0034241634182535564,False,False
30,Change_pct_D_lag20,0.0002840653631137502,0.0030109630062227664,False,False
31,Volume_D_lag1,0.0002736361964322365,0.0021868718584332923,False,False
32,Volume_D_lag2,0.0003825768419562059,0.0029698428864520566,False,False
33,Volume_D_lag3,0.0007822308427852587,0.00397014832938396,True,False
34,Volume_D_lag5,0.0002676493928378765,0.006234961584937082,False,True
