stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,lstm_attention,full_ta,20,42,fold_1,2012,2017,2018,1385,245,48.82461326902858,42.769286037629875,3.7295037966770512,-0.28825196579199774,0.5346938775510204,0.5330867652938824,0.10742566382349683,1.0,245,0,0,114,9,105,17,0.10612244897959183,11.425126599999203
window_selection,lstm_attention,full_ta,20,42,fold_2,2012,2018,2019,1630,244,51.75690810283861,45.479553681919676,4.1913321536900785,-3.382031042915436,0.4959016393442623,0.5150750386970859,0.08458283308600123,1.0,244,0,0,6,121,2,115,0.9672131147540983,12.420854599993618
window_selection,lstm_attention,full_ta,20,42,fold_3,2012,2019,2020,1874,243,90.34791412894084,67.51310545129073,8.048169017310629,-0.01957234549363296,0.4628099173553719,0.47027063969382177,-0.07453254015359481,1.0,242,1,0,21,103,27,91,0.8016528925619835,13.39961239999684
window_selection,lstm_attention,full_ta,20,42,fold_4,2012,2020,2021,2117,240,44.7804755385518,33.089827573974915,3.4527676600161366,-3.3723388294445567,0.5,0.5134136993937705,0.030133109143519056,1.0,240,0,0,84,29,91,36,0.2708333333333333,14.271905100002186
