fit_id,model,fold,test_year,base_seed,arm,scope,regime,fit_seed,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
a87d9f20d11657ac3d93,lstm_cnn,fold_4,2025,42,Global-Numeric,global,global,42,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1436,9.674515000006068,0.4995634000079008,10737
705da5887c0a257f26d1,lstm_cnn,fold_4,2025,42,Global-Numeric-News,global,global,42,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,9.466224300005706,0.49144700000761077,11249
1fa663d9f56c6c938267,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric,regime,bull,233391756,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,419,5.3324158000032185,0.4924209000018891,4849
b3b2f29dc13e9affb33a,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric,regime,sideway,1801841624,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,547,5.8973655000008876,0.5036448000028031,10737
f4cbb5e412a4ec4f7b91,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric,regime,bear,1151042323,80,3034bb44ef0fa18ea49b08e084cf6672fd5fcb2627e8c5fb230ab20b267caba1,470,6.207490000000689,0.535650199992233,8049
02e8fe0117960357b5b4,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric-News,regime,bull,233391756,38,a076ebcf4d70529ea1d6654ebdf65c2a1c5ef4e9aac6738f5e41bbf8fe0350d5,419,5.260829899998498,0.5211707999987993,5361
bc84a4487b279212b525,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric-News,regime,sideway,1801841624,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,547,5.946540300006745,0.5211948000069242,11249
5d25a16bed2f59cb08d9,lstm_cnn,fold_4,2025,42,Regime-SHAP-Numeric-News,regime,bear,1151042323,88,be0ab9371cbac6ff813972092044dcb7cc3434af5ef9cae2b353078f4f11f534,470,5.57951929999399,0.4990391000028467,8561
