model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_cmm_lstm,fold_1,2022,123,Global-Numeric,5,1,10.077280400000744,0.964917500008596,9462,241,11.30983017778257,8.947592099593397,0.9066690967726908,0.7417732698450625,0.5291666666666667,0.541388518024032,0.0842921684600654,1.0,240,1,0,70,37,76,57,0.3916666666666666
pit_cmm_lstm,fold_1,2022,123,Global-Numeric-News,5,1,9.163254800005234,0.8936736000032397,10006,241,14.532657243740474,11.297529195557008,1.1469636102152454,0.5736374119810654,0.55,0.5684069988054248,0.1438159884691293,1.0,240,1,0,79,28,80,53,0.3375
pit_cmm_lstm,fold_1,2022,123,Regime-SHAP-Numeric,5,3,23.55226749999565,2.7389684000081616,19274,241,19.298846007732767,15.461210581187858,1.5708586723889617,0.2481144997637863,0.5666666666666667,0.5487316421895861,0.1030937335875321,1.0,240,1,0,41,66,38,95,0.6708333333333333
pit_cmm_lstm,fold_1,2022,123,Regime-SHAP-Numeric-News,5,3,22.585900600010063,2.97648779998417,20906,241,17.595872550158045,13.75749340471884,1.3944953595468017,0.3749559238005664,0.5791666666666667,0.5682313259784977,0.1389604339129432,1.0,240,1,0,50,57,44,89,0.6083333333333333
pit_cmm_lstm,fold_1,2022,2025,Global-Numeric,5,1,9.362882800007355,0.9076426999963588,9462,241,13.95042930366122,11.111029938513829,1.1295616057179323,0.6071161531964061,0.4583333333333333,0.4847867331881104,-0.0347359158521359,1.0,240,1,0,78,29,101,32,0.2541666666666666
pit_cmm_lstm,fold_1,2022,2025,Global-Numeric-News,5,1,9.05581269999675,0.9309857999905944,10006,241,17.009257366876167,13.11529012104289,1.335165656894061,0.4159369483543584,0.525,0.5412831143278758,0.0858113719150538,1.0,240,1,0,74,33,81,52,0.3541666666666667
pit_cmm_lstm,fold_1,2022,2025,Regime-SHAP-Numeric,5,3,22.648970199996256,2.7815273000014717,19274,241,15.527115754851629,12.613782417378465,1.2821199713796716,0.513289618715614,0.5416666666666666,0.5133862694118474,0.0312711817456259,1.0,240,1,0,27,80,30,103,0.7625
pit_cmm_lstm,fold_1,2022,2025,Regime-SHAP-Numeric-News,5,3,20.59377740000491,2.563031499987119,20906,241,19.192801664840854,15.41323294302733,1.5679551725322662,0.256354799998338,0.5166666666666667,0.4926568758344459,-0.0162730187136722,1.0,240,1,0,29,78,38,95,0.7208333333333333
pit_cmm_lstm,fold_1,2022,42,Global-Numeric,5,1,7.981872000003932,0.7921102999971481,9462,241,28.00815193833762,24.66724452798796,2.51072269946185,-0.5836453710420466,0.4583333333333333,0.5103646967887008,0.072141534088965,1.0,240,1,0,106,1,129,4,0.0208333333333333
pit_cmm_lstm,fold_1,2022,42,Global-Numeric-News,5,1,7.781137700003455,0.7567551999964053,10006,241,21.87903128413457,17.12772188024404,1.7491595861132758,0.0336260669586792,0.5125,0.5373129084393226,0.0830730614326899,1.0,240,1,0,82,25,92,41,0.275
pit_cmm_lstm,fold_1,2022,42,Regime-SHAP-Numeric,5,3,19.602542599997832,2.347841800001333,19274,241,115.34019066069806,71.0988437825033,7.363908143473773,-25.85655840255381,0.5291666666666667,0.5167240531234628,0.0341951467623514,1.0,240,1,0,43,64,49,84,0.6166666666666667
pit_cmm_lstm,fold_1,2022,42,Regime-SHAP-Numeric-News,5,3,19.79318519998924,2.58080150000751,20906,241,115.19864585717518,69.58489652048006,7.210548357635642,-25.7906824276848,0.5125,0.5080809500386481,0.0161228609309845,1.0,240,1,0,50,57,60,73,0.5416666666666666
pit_cmm_lstm,fold_1,2022,456,Global-Numeric,5,1,8.79163680000056,0.8928541999921435,9462,241,15.72069291407828,12.316747294778168,1.2510129022185308,0.5010782960423306,0.5416666666666666,0.5636286979130067,0.1374931542701669,1.0,240,1,0,82,25,85,48,0.3041666666666666
pit_cmm_lstm,fold_1,2022,456,Global-Numeric-News,5,1,8.868410700000823,0.8768215000018245,10006,241,16.859105999730687,13.560544047058892,1.3734951285365888,0.4262032147561211,0.5041666666666667,0.5297941114468414,0.0669779455450761,1.0,240,1,0,82,25,94,39,0.2666666666666666
pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric,5,3,22.10032469998987,2.6055439000047045,19274,241,142.31223054596833,89.47175424515216,8.998969001047769,-39.88589223213442,0.4125,0.4361253601292951,-0.1422098170288421,1.0,240,1,0,70,37,104,29,0.275
pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric-News,5,3,22.71314100001473,2.846451100005652,20906,241,141.97686116315853,87.91218347114645,8.848001346145026,-39.6934179822215,0.45,0.4571709647951654,-0.0860215176416336,1.0,240,1,0,56,51,81,52,0.4291666666666666
pit_cmm_lstm,fold_1,2022,789,Global-Numeric,5,1,9.227644599988707,0.904798400006257,9462,241,24.8016680050946,20.695413864128856,2.1134521201636685,-0.2417975758906261,0.4541666666666666,0.5020378047923547,0.0086435479746892,1.0,240,1,0,101,6,125,8,0.0583333333333333
