model,arm,executed_fits,fit_seconds_total,fit_seconds_mean,inference_seconds_total,trainable_parameters_mean,training_sequences_min,training_sequences_max,evidence_status
lstm,Regime-SHAP-Numeric-News,60,191.20093950002047,3.186682325000341,23.34276529996714,6694.333333333333,216,559,frozen_existing_result
cnn,Regime-SHAP-Numeric-News,60,184.2316989999672,3.07052831666612,14.409189300014985,8497.0,213,547,frozen_existing_result
lstm_cnn,Regime-SHAP-Numeric-News,60,321.8040587999858,5.363400979999764,31.6752484000026,8390.333333333334,213,547,frozen_existing_result
lstm_attention,Regime-SHAP-Numeric-News,60,325.1941162000003,5.419901936666672,34.58578210006817,7782.333333333333,216,554,frozen_existing_result
lstm_cnn_attention,Regime-SHAP-Numeric-News,60,433.4663440000295,7.224439066667158,41.85770119991503,10518.333333333334,213,547,frozen_existing_result
pit_cmm_lstm,Regime-SHAP-Numeric-News,60,477.2183390000573,7.953638983334288,56.53527509995911,6968.666666666667,216,559,post_freeze_exploratory_architecture_extension
