model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_cmm_lstm,fold_1,2022,Global-Numeric,5,241,16.093136743467046,13.180218956705973,1.3395777867070178,0.477158043364161,0.48333333333333334,0.52926709296606,0.10775919906200745,1.0,240,1,0,102,5,119,14,0.07916666666666666
pit_cmm_lstm,fold_1,2022,Global-Numeric-News,5,241,12.803689424933285,10.100698074446697,1.024743006347103,0.6690523585580055,0.5083333333333333,0.5308130138430187,0.06711341798995264,1.0,240,1,0,79,28,90,43,0.29583333333333334
pit_cmm_lstm,fold_1,2022,Regime-SHAP-Numeric,5,241,30.452589260097405,24.737602120862242,2.5194373901434473,-0.8721363593233513,0.475,0.5025648232731361,0.005921610768754249,1.0,240,1,0,81,26,100,33,0.24583333333333332
pit_cmm_lstm,fold_1,2022,Regime-SHAP-Numeric-News,5,241,31.921038565016755,26.245134855114102,2.6706116832489823,-1.0570415022965283,0.4791666666666667,0.4999297308692291,-0.00015126636908373715,1.0,240,1,0,74,33,92,41,0.30833333333333335
pit_cmm_lstm,fold_2,2023,Global-Numeric,5,243,12.645327304768786,9.766485017394832,1.055315514208912,0.9192300319031688,0.5537190082644629,0.5383086622807017,0.09068467636817208,1.0,242,1,0,103,25,83,31,0.23140495867768596
pit_cmm_lstm,fold_2,2023,Global-Numeric-News,5,243,13.318846987735153,10.808846030176436,1.1590195855627463,0.9103969029738609,0.5537190082644629,0.5339912280701754,0.0932711603406627,1.0,242,1,0,112,16,92,22,0.15702479338842976
pit_cmm_lstm,fold_2,2023,Regime-SHAP-Numeric,5,243,28.959440848831136,24.34475317396697,2.609243438831243,0.5763861937343948,0.5,0.487047697368421,-0.028898677181010458,1.0,242,1,0,91,37,84,30,0.2768595041322314
pit_cmm_lstm,fold_2,2023,Regime-SHAP-Numeric-News,5,243,26.753569291029237,21.331833232395457,2.273535207408953,0.6384626056611803,0.5330578512396694,0.5158991228070176,0.03949879762394237,1.0,242,1,0,104,24,89,25,0.2024793388429752
pit_cmm_lstm,fold_3,2024,Global-Numeric,5,244,15.249352161225307,12.190564120921426,1.4292770821286596,0.8800850806395684,0.5245901639344263,0.5389326334208224,0.10845573773372662,1.0,244,0,0,24,103,13,104,0.8483606557377049
pit_cmm_lstm,fold_3,2024,Global-Numeric-News,5,244,19.64199905784172,16.290051386116446,1.9126485457679883,0.8010509802611442,0.4959016393442623,0.5133925566996433,0.051191494492605405,1.0,244,0,0,11,116,7,110,0.9262295081967213
pit_cmm_lstm,fold_3,2024,Regime-SHAP-Numeric,5,244,16.84770480946909,13.067368547320864,1.4873764168007821,0.8536300511535684,0.5163934426229508,0.5149067904973417,0.029869920402958227,1.0,244,0,0,70,57,61,56,0.46311475409836067
pit_cmm_lstm,fold_3,2024,Regime-SHAP-Numeric-News,5,244,16.768654868671124,13.255824531584977,1.5124301133292586,0.8550003732561242,0.4959016393442623,0.49791372232317116,-0.0041893645785124264,1.0,244,0,0,57,70,53,64,0.5491803278688525
pit_cmm_lstm,fold_4,2025,Global-Numeric,5,234,17.119596188099067,12.974863446761658,1.6753801009427198,0.886862718036345,0.5384615384615384,0.5401315789473684,0.08090441834985283,1.0,234,0,0,57,63,45,69,0.5641025641025641
pit_cmm_lstm,fold_4,2025,Global-Numeric-News,5,234,16.273453644435115,12.468987577295554,1.6069152330272392,0.8977700448333257,0.5555555555555556,0.5574561403508772,0.11610664978422322,1.0,234,0,0,58,62,42,72,0.5726495726495726
pit_cmm_lstm,fold_4,2025,Regime-SHAP-Numeric,5,234,20.696220373700243,16.282853751507453,2.100386931323799,0.8346512986745711,0.5170940170940171,0.518859649122807,0.038064501412126805,1.0,234,0,0,54,66,47,67,0.5683760683760684
pit_cmm_lstm,fold_4,2025,Regime-SHAP-Numeric-News,5,234,21.513516677142274,17.24846927919576,2.2323352872959763,0.8213341610062267,0.5427350427350427,0.5491228070175439,0.11308661115954621,1.0,234,0,0,36,84,23,91,0.7478632478632479
