fit_id,model,fold,test_year,base_seed,arm,scope,regime,fit_seed,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
8fdf81a5228b0d52bce6,pit_cmm_lstm,fold_1,2022,456,Global-Numeric,global,global,456,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,723,8.79163680000056,0.8928541999921435,9462
a7f1a4d5eecadaf965c1,pit_cmm_lstm,fold_1,2022,456,Global-Numeric-News,global,global,456,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,8.868410700000823,0.8768215000018245,10006
18814cb02b319933e9e7,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric,regime,bull,1574850040,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,216,7.1542113999894354,0.8699507999990601,3206
c86e4e37a0534ffa69a4,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric,regime,sideway,376207022,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,287,7.487763299999642,0.8713887000048999,9462
797dbe57b30d84fe2ab4,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric,regime,bear,518123612,80,3034bb44ef0fa18ea49b08e084cf6672fd5fcb2627e8c5fb230ab20b267caba1,220,7.458350000000792,0.8642044000007445,6606
15c4c8877cc314807177,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric-News,regime,bull,1574850040,38,a076ebcf4d70529ea1d6654ebdf65c2a1c5ef4e9aac6738f5e41bbf8fe0350d5,216,7.570458900008816,0.919401499995729,3750
ed746cea89d02266af0d,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric-News,regime,sideway,376207022,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,287,7.415229400008684,0.8981284000037704,10006
00867aab0b8a8bf2511f,pit_cmm_lstm,fold_1,2022,456,Regime-SHAP-Numeric-News,regime,bear,518123612,88,be0ab9371cbac6ff813972092044dcb7cc3434af5ef9cae2b353078f4f11f534,220,7.727452699997229,1.0289212000061525,7150
34b8467e667842dd24b2,pit_cmm_lstm,fold_1,2022,789,Global-Numeric,global,global,789,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,723,9.227644599988707,0.904798400006257,9462
5ff47e921490c3ae90a7,pit_cmm_lstm,fold_1,2022,789,Global-Numeric-News,global,global,789,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,8.712605699998676,1.031625100004021,10006
2749f83fb7e3335fd204,pit_cmm_lstm,fold_1,2022,789,Regime-SHAP-Numeric,regime,bull,566602380,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,216,7.484158099992783,1.1922285000036936,3206
