inner_fold,validation_year,seed,variant,training_sequences,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,123,direct_numeric_lstm,225,9041,3.079554600000847,0.3629676999989897,0.5330748558044434,243,0.4957627118644068,0.4814814814814814,-0.0661616488340434,1.643427586679967,0.4402144835068647
inner_2020,2020,123,concat_lstm,225,9553,2.8143378000095254,0.3742042000085348,0.5131374001502991,243,0.5,0.48559670781893,0.0,1.5927173629880793,0.442158610644102
inner_2020,2020,123,bounded_residual,225,9347,4.116422200007946,0.0271566000010352,0.7124888300895691,243,0.5,0.48559670781893,0.0,1.5422309710403312,0.4304488505009078
inner_2020,2020,123,random_control_fcg,225,9347,4.586636799998814,0.0512977000034879,0.7937002778053284,243,0.5,0.48559670781893,0.0,1.570295490993885,0.4306243890129987
inner_2020,2020,123,matched_control_fcg,225,9347,4.716226799995638,0.0510245999903418,0.7921698093414307,243,0.5,0.48559670781893,0.0,1.5021154476689125,0.4215771399836764
inner_2020,2020,2025,direct_numeric_lstm,225,9041,2.901370499996119,0.3550836999929743,0.4909574389457702,243,0.4995254237288136,0.48559670781893,-0.0037282332845291,0.9536019108567216,0.3453745882992147
inner_2020,2020,2025,concat_lstm,225,9553,2.7755386999924667,0.3584184000064851,0.4827599227428436,243,0.5,0.48559670781893,0.0,0.9050203782801268,0.3338748712755426
inner_2020,2020,2025,bounded_residual,225,9347,3.9818880000093486,0.029939000000013,0.6512778997421265,243,0.4985762711864407,0.48559670781893,-0.006568355759289,0.902158560791834,0.3308629585884133
inner_2020,2020,2025,random_control_fcg,225,9347,4.421428999994532,0.0529137999983504,0.7387085556983948,243,0.4943389830508475,0.4814814814814814,-0.0251469238596757,0.8629789030545617,0.318478820742835
inner_2020,2020,2025,matched_control_fcg,225,9347,4.435141099995235,0.0542691000009654,0.7370451092720032,243,0.5028135593220339,0.4897119341563786,0.0135282539508942,0.8882596205394468,0.3252131327673508
inner_2020,2020,42,direct_numeric_lstm,225,9041,2.825565799998003,0.331719299996621,0.45045205950737,243,0.4236271186440677,0.4238683127572016,-0.1526940108002614,0.984270043155826,0.3575903839075482
inner_2020,2020,42,concat_lstm,225,9553,2.709963699991931,0.3367658999923151,0.4192067086696625,243,0.4700338983050847,0.4650205761316872,-0.0639470898657701,0.9906897374902932,0.3553672895735406
inner_2020,2020,42,bounded_residual,225,9347,4.001979300010135,0.0283578000089619,0.5935110449790955,243,0.5100677966101695,0.5020576131687243,0.0242065366474613,1.034720051944723,0.3562513062096329
inner_2020,2020,42,random_control_fcg,225,9347,4.482059299989487,0.0547899999946821,0.6839286088943481,243,0.423864406779661,0.4238683127572016,-0.1522092833878695,1.1586343935699013,0.4045988909705172
inner_2020,2020,42,matched_control_fcg,225,9347,4.98582639999222,0.0589458999893395,0.667805552482605,243,0.4337627118644068,0.4320987654320987,-0.1333727807891683,1.158769960260202,0.4021245682178022
inner_2020,2020,456,direct_numeric_lstm,225,9041,2.7747837000060827,0.3434641999920131,0.5194948315620422,243,0.5037627118644068,0.4897119341563786,0.0340612608622379,0.9911973038048112,0.3593022273273409
