inner_fold,validation_year,seed,variant,aligned_balanced_accuracy,placebo_balanced_accuracy,aligned_gate_mean,aligned_gate_median,placebo_gate_mean,placebo_gate_median,final_epoch_gate_target_rate
inner_2020,2020,123,random_control_fcg,0.5,0.5,0.3749827742576599,0.4107608795166015,0.3811259269714355,0.4080221951007843,0.36328125
inner_2020,2020,123,matched_control_fcg,0.5,0.5,0.3072949945926666,0.3252022564411163,0.2939410507678985,0.2713899910449981,0.33984375
inner_2020,2020,2025,random_control_fcg,0.4943389830508475,0.4983389830508475,0.3670503497123718,0.3759942948818207,0.3922368884086609,0.4084104299545288,0.3671875
inner_2020,2020,2025,matched_control_fcg,0.5028135593220339,0.4985762711864407,0.3668352961540222,0.3802945613861084,0.3879049718379974,0.4023295640945434,0.3671875
inner_2020,2020,42,random_control_fcg,0.423864406779661,0.4116271186440677,0.5969157814979553,0.5967018604278564,0.5830719470977783,0.5811444520950317,0.45703125
inner_2020,2020,42,matched_control_fcg,0.4337627118644068,0.446,0.6065519452095032,0.6144353151321411,0.5757909417152405,0.5855181813240051,0.41015625
inner_2020,2020,456,random_control_fcg,0.4955254237288136,0.4995254237288136,0.4910109341144562,0.4819575250148773,0.4862460494041443,0.4819575250148773,0.328125
inner_2020,2020,456,matched_control_fcg,0.5037627118644068,0.4912881355932203,0.4835931062698364,0.4825946688652038,0.4711763858795166,0.4825946688652038,0.34765625
inner_2020,2020,789,random_control_fcg,0.4566101694915254,0.4436610169491525,0.6594310998916626,0.6521394848823547,0.6563110947608948,0.6526240706443787,0.4921875
inner_2020,2020,789,matched_control_fcg,0.457322033898305,0.4610847457627118,0.6434511542320251,0.6294249892234802,0.6408475637435913,0.6343566179275513,0.44921875
inner_2021,2021,123,random_control_fcg,0.5031705107658002,0.5223329384711867,0.5550817251205444,0.5439180135726929,0.4670214653015136,0.4733054637908935,0.3899999856948852
inner_2021,2021,123,matched_control_fcg,0.5238659326876176,0.4977701902306459,0.574834942817688,0.5812569856643677,0.5080026388168335,0.4877080917358398,0.3958333432674408
inner_2021,2021,2025,random_control_fcg,0.5085708313009547,0.5080830604139084,0.3268576860427856,0.3395496606826782,0.3872193694114685,0.4117234945297241,0.3408333361148834
inner_2021,2021,2025,matched_control_fcg,0.491359487143753,0.4834854713957215,0.3164206445217132,0.325217604637146,0.3735853135585785,0.3756015002727508,0.336249977350235
inner_2021,2021,42,random_control_fcg,0.5064803846421853,0.5000696815552923,0.4420846998691559,0.4463110566139221,0.4353929162025451,0.4308321475982666,0.3375000059604645
inner_2021,2021,42,matched_control_fcg,0.5059926137551389,0.4981185980071075,0.4371059536933899,0.444643497467041,0.4247250556945801,0.4236281514167785,0.3495833277702331
inner_2021,2021,456,random_control_fcg,0.4879102501567834,0.5080830604139084,0.3489431142807007,0.3297460079193115,0.3988839387893677,0.4021114706993103,0.270000010728836
inner_2021,2021,456,matched_control_fcg,0.4751236847606438,0.4839732422827677,0.3464213013648987,0.3254435658454895,0.3822704255580902,0.3846607506275177,0.2941666543483734
inner_2021,2021,789,random_control_fcg,0.5335168280956031,0.5059577729774928,0.4591968357563019,0.4687436819076538,0.497206300497055,0.4999764561653137,0.382916659116745
inner_2021,2021,789,matched_control_fcg,0.5246672705734792,0.5079436973033238,0.4637633562088012,0.471865177154541,0.4851196706295013,0.4862566888332367,0.3966666460037231
