inner_fold,validation_year,variant,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,direct_numeric_lstm,243,0.5035254237288136,0.4897119341563786,0.024823547637379057,0.9476427337388172,0.33913369504852275
inner_2020,2020,concat_lstm,243,0.4915254237288136,0.4773662551440329,-0.0937606219221185,0.9503575735527248,0.3441978271949511
inner_2020,2020,bounded_residual,243,0.4988135593220339,0.48559670781893005,-0.005970271395820639,0.9781074259074602,0.34747963020388184
inner_2020,2020,random_control_fcg,243,0.497864406779661,0.48559670781893005,-0.008151115136354147,0.9542840098204154,0.3415234030533259
inner_2020,2020,matched_control_fcg,243,0.49810169491525425,0.48559670781893005,-0.007651015766607892,0.9741435163515696,0.34586334844267447
inner_2021,2021,direct_numeric_lstm,240,0.5074907671939237,0.49166666666666664,0.017792221179077965,0.7306936061084028,0.267361127170832
inner_2021,2021,concat_lstm,240,0.5025782175458156,0.4875,0.006012304208274052,0.7420542455408324,0.2719958012197786
inner_2021,2021,bounded_residual,240,0.4893038812626298,0.475,-0.02452482179035812,0.735054263553324,0.26912795688503316
inner_2021,2021,random_control_fcg,240,0.5114277750679395,0.49583333333333335,0.02697303627703712,0.7353720004231623,0.2693834353508219
inner_2021,2021,matched_control_fcg,240,0.510452233293847,0.49583333333333335,0.02409729502321684,0.7401086578894378,0.27152864964024503
