variant,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,binary_crossentropy_mean,brier_score_mean,inner_folds
direct_numeric_lstm,0.5055080954613687,0.0028039212539131327,0.4906893004115226,0.021307884408228513,0.83916816992361,0.30324741110967735,2
concat_lstm,0.49705182063731457,0.007815505459058838,0.48243312757201645,-0.043874158856922224,0.8462059095467787,0.3080968142073649,2
bounded_residual,0.4940587202923319,0.0067243578427055965,0.480298353909465,-0.01524754659308938,0.8565808447303922,0.30830379354445747,2
random_control_fcg,0.5046460909238002,0.009590749692372306,0.4907150205761317,0.009410960570341487,0.8448280051217889,0.3054534192020739,2
matched_control_fcg,0.5042769641045506,0.00873314943880771,0.4907150205761317,0.008223139628304474,0.8571260871205038,0.3086959990414597,2
