variant,fits,fit_seconds_total,fit_seconds_mean,inference_seconds_total,trainable_parameters,training_sequences_min,training_sequences_max
direct_numeric_lstm,10,30.023442900012014,3.0023442900012016,3.417860699977609,9041,225,468
concat_lstm,10,28.436807499980205,2.8436807499980206,3.5365946000238178,9553,225,468
bounded_residual,10,42.56015070003923,4.256015070003923,0.27257460003602263,9347,225,468
random_control_fcg,10,47.07268879994808,4.707268879994809,0.5271448999992567,9347,225,468
matched_control_fcg,10,47.70064599995385,4.770064599995385,0.5290794999891656,9347,225,468
