inner_fold,validation_year,variant,aligned_balanced_accuracy,placebo_balanced_accuracy,aligned_gate_mean,aligned_gate_median,placebo_gate_mean,placebo_gate_median
inner_2020,2020,random_control_fcg,0.497864406779661,0.501864406779661,0.4978782007478392,0.5032708823680878,0.49979837299803653,0.5018805891275406
inner_2020,2020,matched_control_fcg,0.49810169491525425,0.5061016949152543,0.48154530626234937,0.48261076807975767,0.4739321689960765,0.4697945535182953
inner_2021,2021,random_control_fcg,0.5114277750679395,0.5005922932199847,0.42643282063150156,0.4199473842978477,0.4371448036655784,0.4335488110780716
inner_2021,2021,matched_control_fcg,0.510452233293847,0.4784683994146749,0.4277092566682647,0.4233287438750267,0.4347406327817589,0.43626744151115415
