protocol_id,variant,validation_year,seed,device,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,training_sequences,validation_sequences,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score,rmse,mae,predicted_up_share,turning_observations,turning_accuracy
tcrc-lstm-posthoc-development-v1,lstm_anchor,2020,123,cpu,21420,1.318695399997523,0.0107003000157419,0.7309187650680542,224,243,243,0.5,0.48559670781893,0.0,0.8751979183534855,0.3240183199639839,19.50278513566358,13.342999854262516,1.0,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,cnn_residual,2020,123,cpu,21420,1.252734000008786,0.0057134000235237,0.620232343673706,224,243,243,0.4879661016949153,0.4773662551440329,-0.0355726423613574,1.126929184145962,0.3788321085667894,21.625169198136657,15.89510851481216,0.8683127572016461,241,0.5643153526970954
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2020,123,cpu,21420,2.606078000011621,0.0061891000077594,0.6329774260520935,224,243,243,0.4483728813559322,0.4444444444444444,-0.1073734006602306,0.9962215512560918,0.3589827681831164,20.644368799909078,14.533142859265537,0.6378600823045267,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2020,123,cpu,21420,1.370880800008308,0.0052508999942801,0.8175635933876038,224,243,243,0.512,0.4979423868312757,0.1086278049120021,0.8804950543154203,0.3245705227574001,19.767600112575856,13.455695668507827,0.9876543209876544,241,0.4979253112033195
tcrc-lstm-posthoc-development-v1,tcrc_full,2020,123,cpu,21420,1.4159339999896474,0.0061251999868545,0.9054942727088928,224,243,243,0.508,0.4938271604938271,0.0885100270944798,0.84632541942077,0.3144038950805575,19.460144825675755,13.078285185752938,0.9917695473251028,241,0.4605809128630705
tcrc-lstm-posthoc-development-v1,lstm_anchor,2020,2025,cpu,21420,1.314676000009058,0.006185899983393,0.7268508672714233,224,243,243,0.4733559322033898,0.4650205761316872,-0.0654019705112905,0.7484446026541514,0.2760653853815982,18.450086213907166,12.227503057227729,0.7901234567901234,241,0.4771784232365145
tcrc-lstm-posthoc-development-v1,cnn_residual,2020,2025,cpu,21420,1.2996262999949977,0.0078876999905332,0.5430810451507568,224,243,243,0.5100677966101695,0.5020576131687243,0.0242065366474613,1.014523409099546,0.3588585593744273,20.611232441322517,14.351067323233888,0.7777777777777778,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2020,2025,cpu,21420,1.3370933000114746,0.0086333000217564,0.5378217697143555,224,243,243,0.5354915254237288,0.5267489711934157,0.0891071897473348,0.9122597011353116,0.3311900665669176,19.861289437189683,13.625790368593105,0.8024691358024691,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2020,2025,cpu,21420,1.371947900013765,0.007354800007306,0.7564380168914795,224,243,243,0.5232542372881356,0.51440329218107,0.0588506333263611,0.9707292382695368,0.3480676877555352,20.22206221462652,13.995832143268348,0.8065843621399177,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,tcrc_full,2020,2025,cpu,21420,1.484610600018641,0.0075059999944642,0.867744505405426,224,243,243,0.4657966101694915,0.4609053497942387,-0.0727539136667695,0.8505712622656062,0.3180053693679011,19.319389186969826,13.134647858761427,0.6707818930041153,241,0.5477178423236515
