variant,fits,fit_seconds_total,fit_seconds_mean,inference_seconds_total,inference_seconds_mean,trainable_parameters
cnn_residual,10,20.793390700011514,2.0793390700011516,0.0656094999576449,0.00656094999576449,21420
latent_turn_gate,10,22.18495110006188,2.218495110006188,0.0668531999690453,0.006685319996904531,21420
lstm_anchor,10,20.726980000006733,2.072698000000673,0.08752330002607729,0.00875233000260773,21420
supervised_turn_gate,10,22.01155789999757,2.201155789999757,0.0637398999533611,0.0063739899953361105,21420
tcrc_full,10,22.788881800021045,2.2788881800021046,0.0678721999865952,0.00678721999865952,21420
