model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn_attention,fold_2,2023,123,Global-Numeric,20,1,12.947446399994078,0.8487946999957785,12865,243,28.1818516813351,23.191935335211284,2.5092728790343233,0.5988296647150335,0.512396694214876,0.5222724780701755,0.04726650006763925,1.0,242,1,0,45,83,35,79,0.6694214876033058
lstm_cnn_attention,fold_2,2023,123,Global-Numeric-News,20,1,11.589544599992223,0.7554017999937059,13377,243,27.76605725554113,22.77158244842363,2.457965993548031,0.6105800547827457,0.512396694214876,0.5179550438596492,0.03651569682059581,1.0,242,1,0,54,74,44,70,0.5950413223140496
lstm_cnn_attention,fold_2,2023,123,Regime-SHAP-Numeric,20,3,22.538825600000564,2.2034383000136586,30019,243,33.39945170987427,25.48330104282854,2.77515151961521,0.4365330645826945,0.5743801652892562,0.5659950657894737,0.1380192246156704,1.0,242,1,0,91,37,66,48,0.3512396694214876
lstm_cnn_attention,fold_2,2023,123,Regime-SHAP-Numeric-News,20,3,21.769544800015865,2.1781132000032812,31555,243,37.99782263427581,30.229158072307285,3.2659065049620897,0.2706983702866287,0.5578512396694215,0.5436540570175439,0.10037089865797663,1.0,242,1,0,101,27,80,34,0.25206611570247933
