seed,rmse,mae,mape,r2,direction_accuracy
42,48.22718571864074,37.54290648787853,4.52103774894476,-0.6863984229826123,0.5107437487859454
123,45.18411766927869,36.41242527807472,4.281961297484385,-0.45589553167144603,0.4940058570480537
456,41.131280861940276,31.879136141574257,3.779854676142401,-0.25335752422762225,0.4886978318840475
789,52.06801169139197,41.966780568427495,4.993743548678879,-0.8669872393131288,0.4951916347876751
2025,40.463203722896374,32.08323931926487,3.7470937211542417,-0.38097504968124896,0.497109457402219
