seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
42,fold_1,2012,2021,2022,2359,241,32.0181887097617,24.949005573023403,2.5332261618793246,-1.0695815694913207,0.44813278008298757
42,fold_2,2012,2022,2023,2600,243,28.36640906940486,21.952761431113192,2.367431721977078,0.5935580889982358,0.5432098765432098
42,fold_3,2012,2023,2024,2843,244,35.875312909689875,29.985855443321313,3.5412402580595566,0.33631526723172633,0.4918032786885246
42,fold_4,2012,2024,2025,3087,234,96.64883218570651,73.28400350405622,9.642252853863083,-2.605885478669091,0.5598290598290598
123,fold_1,2012,2021,2022,2359,241,32.94993096522609,24.690060997108205,2.5043707207908708,-1.1917854839016067,0.44813278008298757
123,fold_2,2012,2022,2023,2600,243,31.152028601226633,25.034918538552752,2.716978291101128,0.5098122798253688,0.5061728395061729
123,fold_3,2012,2023,2024,2843,244,62.322578309921006,53.84784359478562,6.385035884240027,-1.002909174257006,0.4918032786885246
123,fold_4,2012,2024,2025,3087,234,54.31193280074105,42.07687798185229,5.521460293805512,-0.1386997483525403,0.5299145299145299
456,fold_1,2012,2021,2022,2359,241,33.407538519632524,26.295608065632862,2.669122977548713,-1.2530871149136038,0.42738589211618255
456,fold_2,2012,2022,2023,2600,243,29.85238590327749,23.83701530939268,2.593712179846719,0.5498597416395834,0.4732510288065844
456,fold_3,2012,2023,2024,2843,244,36.183826526102706,28.68418874295034,3.408473237929182,0.32485132893753266,0.5327868852459017
456,fold_4,2012,2024,2025,3087,234,65.08137249874838,48.69973244832115,6.448110309244989,-0.6350540525740012,0.5213675213675214
789,fold_1,2012,2021,2022,2359,241,34.339212098116384,25.484734868943935,2.58436500747637,-1.3805081936195327,0.4605809128630705
789,fold_2,2012,2022,2023,2600,243,28.46742065742994,22.985527414117822,2.486061119339016,0.5906582900886841,0.49794238683127573
789,fold_3,2012,2023,2024,2843,244,59.55287236310294,53.427036266698245,6.285752565296826,-0.8288406168898061,0.47950819672131145
789,fold_4,2012,2024,2025,3087,234,85.91254164691861,65.96982372394997,8.618795502603303,-1.8492584368318603,0.5427350427350427
2025,fold_1,2012,2021,2022,2359,241,39.584224198170766,30.97090573813409,3.1356924481334767,-2.1632484484669474,0.4605809128630705
2025,fold_2,2012,2022,2023,2600,243,29.340003613485237,23.70660712950515,2.569609870529063,0.5651794234111105,0.49794238683127573
2025,fold_3,2012,2023,2024,2843,244,35.14889074776944,27.784838334302464,3.263845628650477,0.3629204281585524,0.5
2025,fold_4,2012,2024,2025,3087,234,57.77969633216006,45.87060607511777,6.019226937303951,-0.2887516018277114,0.5299145299145299
