fold,training_end,sideway_quantile,sideway_threshold
fold_1,2021-12-30,0.35,0.06598441776320031
fold_2,2022-12-30,0.35,0.0641012118979708
fold_3,2023-12-28,0.35,0.06414348892595417
fold_4,2024-12-30,0.35,0.06313814169528326
