fold,prefix_rows,feature_max_abs_difference,membership_max_abs_difference,label_mismatches
fold_1,2479,0.0,0.0,0
fold_2,2721,0.0,0.0,0
fold_3,2965,0.0,0.0,0
fold_4,3204,0.0,0.0,0
