fold,split,regime,rows,share,mean_routing_confidence,mean_return_1d,mean_return_20d,mean_adx_14,observed_mean_run_days
fold_1,train,bull,896,0.3798219584569733,0.9045629455149059,0.0018080559871502463,0.03994252968955863,24.53685363601951,10.795180722891565
fold_1,train,sideway,826,0.35014836795252224,0.7763461813368605,0.00022290308827565292,0.0015084229527773634,18.229939478634627,5.619047619047619
fold_1,train,bear,637,0.27002967359050445,0.9144036698188159,-0.0023981931800615497,-0.04884444457363043,29.39457639138426,9.8
fold_1,test,bull,73,0.3029045643153527,0.8889175083335839,0.0015879891750446747,0.03012288859857965,20.318324473307626,7.3
fold_1,test,sideway,105,0.43568464730290457,0.7814834436794225,-0.00010484032276696011,0.0029004603774904487,16.930228779190806,8.076923076923077
fold_1,test,bear,63,0.26141078838174275,0.9128485208233457,-0.0013437701256149828,-0.03257440867849749,24.41213161372194,15.75
fold_2,train,bull,982,0.3776923076923077,0.9056572764542533,0.0018318712575499413,0.03894075577405359,24.144387651909174,10.446808510638299
fold_2,train,sideway,910,0.35,0.7763799111640847,0.0001268348322210949,0.0015300525184573223,18.053006453216913,5.515151515151516
fold_2,train,bear,708,0.2723076923076923,0.9165004057278333,-0.0022847072804493642,-0.0469778047088888,28.85331565249467,9.833333333333334
fold_2,test,bull,40,0.1646090534979424,0.8710838684926407,0.0006995590816613725,0.026480016112245215,21.8232071144611,10.0
fold_2,test,sideway,84,0.345679012345679,0.7544669558847724,-7.291479262262572e-05,0.0013975718433974892,21.237153341826023,6.0
fold_2,test,bear,119,0.4897119341563786,0.9337998432818279,-0.0012831038981646248,-0.031407316591103115,30.590410431904157,11.9
fold_3,train,bull,1021,0.35912768202602885,0.9045253854321731,0.0017776257824448929,0.038451223501782296,24.059494484816522,10.525773195876289
fold_3,train,sideway,995,0.3499824129440732,0.7744103989502149,0.00012182800909061038,0.0015578567295801602,18.321738535574227,5.558659217877095
fold_3,train,bear,827,0.290889905029898,0.9188373650774122,-0.002140582972720363,-0.044737311255422664,29.103272458721676,10.085365853658537
fold_3,test,bull,81,0.3319672131147541,0.9352740792155592,0.0016768511704731226,0.039501572587911274,32.36562758563985,11.571428571428571
fold_3,test,sideway,104,0.4262295081967213,0.7941182727854877,-0.0004380674206031441,-0.0006255988075349548,16.375336247851116,6.933333333333334
fold_3,test,bear,59,0.24180327868852458,0.9052273956258152,-0.0008234627797463031,-0.03027185206125285,22.287343968422277,7.375
fold_4,train,bull,1111,0.35989633948817623,0.9075781752307387,0.001742186236808142,0.038415193987704016,24.641923366094627,10.481132075471699
fold_4,train,sideway,1081,0.35017816650469713,0.777109487417917,9.896972273138467e-05,0.0012662211429738763,18.12950277586615,5.405
fold_4,train,bear,895,0.28992549400712664,0.9173689327980225,-0.0020502356154460956,-0.04345087096184718,28.52258633873148,9.52127659574468
fold_4,test,bull,74,0.3162393162393162,0.8870773667064566,0.0023372770182972023,0.055567438353868646,24.385519983936632,10.571428571428571
fold_4,test,sideway,58,0.24786324786324787,0.7957869883004418,0.0003145244245047793,0.002282492266036672,17.37994097735831,5.2727272727272725
fold_4,test,bear,102,0.4358974358974359,0.9455785090321474,-0.0025787588667779415,-0.05651502677754097,34.518777156448664,25.5
